,fd1,fd2,fd3,fd4,fd5,fd6,fd7
0,22719.2198391543,21923.937068235155,21854.085825906895,21854.085813988237,21854.085825906925,21854.08581398822,21854.085825906914
1,21952.32394168333,21796.987669276838,21766.253632042917,21766.253643870383,21766.253632042924,21766.25364387038,21766.253632042924
2,21645.47302042669,21518.956944874044,21646.217033132092,21550.633622888305,21603.423110191652,21550.633622888312,21603.423110191638
3,21469.518343451764,21589.74474145712,21389.77107599443,21423.174363721508,21389.77107599443,21423.174363721533,21389.77107599443
4,21641.40508268764,21517.721636804978,21629.347984035714,21595.303718218067,21629.347984035707,21595.303718218085,21629.347984035692
5,21649.804061833187,21733.749695572187,21650.059910313154,21684.272911021333,21650.059910313157,21684.272911021322,21730.32463193592
6,21757.4895570805,21914.544893377984,21763.574828486864,21733.753970249196,21762.025767483934,21744.972691288764,21831.776511418437
7,21716.28902171375,21636.70984811889,21665.77097438286,21700.032236129646,21665.77097438288,21711.217374048527,21665.770986105108
8,21559.11214810629,21442.105194644042,21545.533492322495,21511.748334658816,21545.533480727405,21511.74834621792,21545.53348072742
9,21219.62453375337,21267.200250783917,21207.96960133621,21240.795461281647,21207.969612566565,21240.79546128167,21207.969612566565
10,21297.656012903204,21352.05252308057,21324.454278124165,21291.36231464968,21324.454278124165,21291.362314649672,21414.473533544075
11,21551.763140255764,21729.555826312022,21587.76126441336,21621.782198621007,21587.761264413348,21698.183944477314,21603.731491829745
12,21862.32867921789,21733.82736167972,21864.438112793996,21829.67739099487,21913.77287304361,21858.189498487343,21864.438112794025
13,21828.637622665166,21878.502946831442,21830.079144909058,21976.9446009388,21768.102597615856,21864.841082170573,21830.079144909058
14,21748.94496050343,21410.364426949604,21736.184336504193,21766.320119195167,21713.310589747267,21679.008740738496,21713.31058974724
15,21043.95381252824,20910.738274621857,20932.879363058073,20943.560446382144,20911.698030333057,20943.56044638214,20911.698019432828
16,20893.94740228957,20897.868016542776,20938.43345938469,20906.58791681309,20938.433459384687,20906.587905918637,20938.43347031511
17,21101.728758939324,21268.569389384636,21149.871736658824,21182.51090465475,21149.871725492427,21182.51091585713,21149.87172549244
18,21445.818298020553,21633.92974637454,21467.29788215476,21433.756400624272,21467.297893666317,21433.756400624286,21467.297893666317
19,21727.64251125577,21824.495677748313,21753.78721757832,21788.317597175934,21753.787217578327,21788.317597175934,21753.787217578334
20,21839.718014111113,21692.72914682836,21862.944890297786,21828.188649039523,21862.944890297786,21828.18864903952,21862.944890297782
21,21807.555406820647,22055.119325307824,21814.65716511563,21849.37243811446,21814.657165115623,21849.37243811445,21451.278637781168
22,22137.580670212446,21972.729456525474,22126.86332348943,22091.31981957025,22126.863323489422,21723.11898556071,21750.08649141124
23,22017.218173046414,22352.741462662754,22062.133757813237,22062.133769945187,21869.710325885306,21386.935158293698,22000.996254192774
24,22409.747586679594,22372.975742285857,22405.763128800696,22253.44839890289,21835.343332428216,22275.72953033477,21835.343332428216
25,22455.906885425473,22316.13619151257,22384.894945831165,21817.121316693145,22412.14883294597,21817.121316693178,22412.148832945964
26,22383.78567833811,22337.342382583065,21826.638604770047,22313.399966686986,21826.638604770033,22313.399966687,21288.265200390604
