,fd1,fd2,fd3,fd4,fd5,fd6,fd7
0,9036.39090037327,8988.300848331277,8940.148718889119,8891.933631932452,8843.652202413969,8795.298540353282,8746.864250837023
1,8990.948975547237,8942.796846105073,8894.581759148414,8846.300329629927,8797.946667569238,8749.51237805298,8700.98656123477
2,8932.157083634766,8883.941996678119,8835.660567159617,8787.306905098943,8738.872615582672,8690.346798764473,8641.716049864881
3,8893.539284901342,8845.257855382857,8796.904193322167,8748.469903805908,8699.9440869877,8651.313338088117,8602.561747394733
4,8846.476924522152,8798.123262461466,8749.688972945205,8701.163156126991,8652.532407227414,8603.780816534025,8554.889969401385
5,8803.344079527096,8754.909790010839,8706.383973192625,8657.753224293047,8609.00163359966,8560.110786467018,8511.05976331666
6,8751.717635310955,8703.191818492744,8654.561069593165,8605.809478899779,8556.918631767136,8507.867608616778,8458.63298493724
7,8700.021265131862,8651.390516232284,8602.638925538895,8553.74807840625,8504.697055255894,8455.462431576358,8406.018277923124
8,8652.341133138218,8603.589542444828,8554.698695312187,8505.64767216183,8456.41304848229,8406.968894829057,8357.286776824603
9,8602.175453826963,8553.284606694318,8504.233583543963,8454.998959864428,8405.554806211192,8355.872688206737,8305.921666540538
10,8555.92449521397,8506.873472063611,8457.638848384076,8408.19469473084,8358.512576726383,8308.561555060183,8258.308185488704
11,8501.649193853802,8452.414570174265,8402.97041652103,8353.288298516574,8303.33727685038,8253.083907278895,8202.492240625541
12,8451.457848651162,8402.013694997928,8352.33157699347,8302.380555327272,8252.12718575579,8201.535519102437,8150.5671012576295
13,8404.20735936618,8354.525241361727,8304.574219695529,8254.320850124044,8203.729183470692,8152.760765625887,8101.37463754701
14,8353.034790088157,8303.083768421957,8252.830398850474,8202.238732197126,8151.270314352316,8099.884186273439,8048.036883984907
15,8292.260242224162,8242.006872652677,8191.415205999326,8140.446788154519,8089.0606600756455,8037.213357787107,7984.85891238024
16,8260.992613653492,8210.400947000142,8159.432529155335,8108.04640107646,8056.199098787924,8003.844653381056,7950.934591014219
17,8202.062161347363,8151.093743502557,8099.707615423678,8047.860313135145,7995.505867728279,7942.5958053614395,7889.079147259957
18,8161.592737299056,8110.206609220178,8058.359306931643,8006.004861524774,7953.094799157938,7899.578141056452,7845.4014035126265
19,8103.495893888243,8051.648591599708,7999.294146192841,7946.384083826005,7892.867425724519,7838.69068818069,7783.797882553797
20,8051.3697432525505,7999.015297845684,7946.105235478847,7892.588577377362,7838.411839833533,7783.519034206641,7727.851666922995
21,8003.834944915718,7950.92488254888,7897.408224447396,7843.231486903568,7788.338681276674,7732.671313993031,7676.1683865458335
22,7946.667949062241,7893.151290960755,7838.97455341693,7784.081747790034,7728.41438050639,7671.911453059194,7614.509462008733
23,7894.812367363855,7840.635629820028,7785.742824193133,7730.075456909488,7673.572529462292,7616.17053841183,7557.803475385306
24,7844.622582067173,7789.72977644028,7734.062409156634,7677.559481709438,7620.1574906589785,7561.790427632449,7502.38977932405
25,7785.2990240366735,7729.631656753029,7673.128729305834,7615.726738255375,7557.359675228844,7497.9590269204455,7474.06173049697
26,7729.31475312388,7672.811825676682,7615.409834626221,7557.042771599695,7497.642123291294,7473.569175602398,7426.61370874924
27,7676.587868874051,7619.18587782359,7560.818814797061,7501.4181664886655,7479.418003622684,7432.462536769523,7384.791352128768
28,7621.181869427771,7562.81480640124,7503.414158092843,7482.492161433075,7435.536694579914,7387.865509939159,7339.443902063241
29,7561.500636552153,7502.099988243749,7480.469460429267,7433.51399357611,7385.842808935354,7337.421201059434,7288.213599916378
30,7501.964084766389,7480.259991280801,7433.30452442764,7385.6333397868875,7337.21173191097,7288.00413076791,7237.974101741336
31,7481.2616181222575,7434.3061512690965,7386.634966628326,7338.213358752426,7289.005757609368,7238.975728582791,7188.085972471899
32,7433.554935537603,7385.883750896833,7337.46214302093,7288.2545418778745,7238.224512851299,7187.334756740407,7135.547109760045
33,7387.6502794327835,7339.228671556863,7290.021070413806,7239.991041387231,7189.101285276355,7137.31363829598,7084.589072076544
34,7336.693208750522,7287.485607607465,7237.455578580889,7186.565822470009,7134.778175489638,7082.053609270202,7028.352230857714
35,7285.665102413483,7235.635073386903,7184.745317276027,7132.957670295653,7080.233104076218,7026.53172566373,6971.812777519784
36,7238.020031431168,7187.130275320289,7135.342628339915,7082.618062120482,7028.916683707994,6974.197735564048,6918.4195955658815
37,7176.8031983522715,7125.015551371896,7072.290985152461,7018.5896067399735,6963.870658596026,6908.092518597863,6851.212700038269
38,7117.280198785707,7064.555632566271,7010.854254153783,6956.135306009841,6900.357166011678,6843.47734745208,6785.452499039478
39,7050.568902672649,6996.867524260161,6942.148576116215,6886.370436118052,6829.4906175584565,6771.465769145854,6712.251675004252
40,7000.392432046838,6945.673483902891,6889.895343904724,6833.015525345131,6774.990676932532,6715.776582790927,6655.32816245994
41,6953.103027876984,6897.324887878822,6840.445069319227,6782.420220906625,6723.206126765023,6662.757706434036,6601.02901486884
42,6898.593220248992,6841.713401689398,6783.6885532767965,6724.474459135191,6664.026038804206,6602.29734723901,6539.241574810456
43,6851.3001845229155,6793.275336110316,6734.0612419687095,6673.612821637726,6611.884130072528,6548.828357643972,6484.397830138424
44,6789.593099220607,6730.379005079002,6669.930584748017,6608.20189318282,6545.146120754263,6480.715593248714,6414.861771868193
45,6732.034301468802,6671.585881137817,6609.85718957262,6546.801417144063,6482.370889638515,6416.517068257993,6349.190549620112
46,6673.52970837153,6611.801016806334,6548.7452443777765,6484.314716872231,6418.460895491709,6351.134376853828,6282.284892991758
47,6613.521093449853,6550.465321021296,6486.034793515748,6420.180972135228,6352.854453497345,6284.004969635276,6213.5813879978305
48,6548.4922359546035,6484.061708449055,6418.2078870685355,6350.881368430653,6282.031884568585,6211.608302931138,6139.558626382729
49,6478.115254601174,6412.261433220669,6344.934914582786,6276.085430720703,6205.66184908327,6133.612172534848,6059.883539355456
50,6410.4972654693265,6343.170746831444,6274.321262969375,6203.8976813319305,6131.848004783523,6058.119371604129,5982.658055489355
51,6349.199010706659,6280.3495268445895,6209.925945207143,6137.876268658734,6064.147635479343,5988.686319364568,5911.437729425601
52,6279.517838268532,6209.094256631085,6137.044580082677,6063.315946903286,5987.854630788511,5910.606040849545,5831.514721613184
53,6210.984721685928,6138.935045137519,6065.206411958128,5989.745095843355,5912.496505904387,5833.405186668025,3511.78397228156
54,6136.591839567745,6062.863206388352,5987.401890273581,5910.153300334612,5831.061981098251,3678.293837842008,3663.9917523607487
55,6075.502663155524,6000.041347040747,5922.792757101782,5843.70143786542,2847.5577683096158,2836.5428939754584,2825.4533064953216
56,6001.98805627741,5924.739466338442,5845.648147102082,2732.408763073089,2721.847502446662,2711.2146055052926,2700.5094681059727
57,5925.997783772106,5846.906464535745,2659.50006357961,2649.2257344585973,2638.8817152595984,2628.4674182531357,2617.9822531950367
58,5847.769521561187,2610.1560915128257,2600.075828098796,2589.9271909413164,2579.7096034121814,2569.4224864159896,2559.065258389766
59,2961.968985592407,2950.502878724838,2938.9589980315964,2927.3366876091563,2915.6352887475596,2903.8541399300307,2891.9925768328917
60,3130.9544119728785,3118.6901349179607,3106.34253372329,3093.9109085720816,3081.394556665571,3068.792772222942,3056.104846481548
61,3246.2005839204826,3233.3376763036135,3220.38723813134,3207.348537274746,3194.220838498466,3181.0034034608316,3167.6954907139475
62,3071.2211415277943,3058.932888593181,3046.5608860452403,3034.104436242824,3021.562838597348,3008.9353895728573,2996.2213826855273
63,2799.1832870181356,2787.881671662971,2776.502915167217,2765.046377555036,2753.5114161582287,2741.8973856157336,2730.203637874298
64,2827.24516614925,2815.7026002708835,2804.081133533642,2792.3801140174264,2780.598887070517,2768.736795310236,2756.793178622592
65,2922.3151217511017,2910.2447501772285,2898.091752922474,2885.855450047758,2873.5351587775394,2861.130193499462,2848.6398657642258
66,2802.613955584583,2790.919178854811,2779.1442374870157,2767.2884744492467,2755.3512299797026,2743.3318415865924,2731.2296440484392
67,2807.8646227903428,2796.016768704832,2784.087592485914,2772.0764302864104,2759.982615512255,2747.805478822792,2735.544348130606
68,2963.415072186678,2950.756827134267,2938.0115854096553,2925.1786396789203,2912.2572796936865,2899.246792290946,2886.1464613932317
69,3053.335219823936,3040.1375506142317,3026.849064102966,3013.4690248295387,2999.996694315257,2986.431331063509,2972.772190559289
70,3345.3301022414275,3330.677559815504,3315.9240667861654,3301.068808870285,3286.1109684570147,3271.049724607312,3255.8842530547377
71,3399.7258181774846,3384.6596479995746,3369.4895561879493,3354.214707803749,3338.8342645094567,3323.3473845695626,3307.753222849877
72,3298.8755123766277,3284.098312451432,3269.219069055745,3254.236965564206,3239.151182041545,3223.9608952417702,3208.665278608679
73,3603.2770035668436,3586.9175163399996,3570.4449361030274,3553.8583613503506,3537.15688693634,3520.3396040758284,3503.405600343919
74,3499.849694916892,3483.7860065304367,3467.6111532656396,3451.3242524449147,3434.9244178414833,3418.4107596791814,3401.7823846325537
75,3736.3196017549694,3718.944115506158,3701.448264594046,3683.8310970086773,3666.0916569272613,3648.228984714259,3630.2421169212166
76,3506.5694890909986,3490.095361486209,3473.507001863451,3456.8035102181,3439.983982955423,3423.047512890518,3405.9931892482905
77,3265.587972553126,3250.090364827898,3234.4851954773303,3218.771620321721,3202.948791827224,3187.0158591059126,3170.9719679158648
78,3161.143828756355,3145.975276416782,3130.701351358051,3115.3212297594446,3099.834084540027,3084.239085358715,3068.535398614065
79,3453.7874162037688,3436.982908043796,3420.0615615063907,3403.022466629755,3385.8647098652386,3368.5873740771317,3351.1895385428334
80,3347.7315297499727,3331.259764439139,3314.673379230578,3297.9714848476015,3281.15318852177,3264.2175939930507,3247.1638015098683
81,3328.5429515977758,3311.970410721572,3295.282457084208,3278.4781986624216,3261.5567399442707,3244.517181929183,3227.3586221276455
82,2731.7986905108537,2718.0940564346456,2704.293909478516,2690.3975142219488,2676.404132379482,2662.3130228003884,2648.1234414690803
83,2769.2190889806675,2755.1536256380864,2740.9900635617796,2726.7276502722925,2712.3656303698144,2697.9032455345964,2683.3397345267344
