,fd1,fd2,fd3,fd4,fd5,fd6,fd7
0,3206.987848716985,3205.734524176131,3205.734524176131,3205.734524176149,3205.734524176131,3205.734524176131,3205.734524176131
1,3206.987848716985,3205.734524176131,3205.734524176131,3205.734524176149,3205.734524176131,3205.734524176131,3205.734524176131
2,3206.987848716985,3205.734524176131,3205.734524176131,3205.734524176149,3205.734524176131,3205.734524176131,3205.734524176131
3,3180.8214033463123,3177.687233053318,3177.687233053336,3177.687233053318,3177.687233053318,3177.687233053318,3177.687233053318
4,3185.2090748991695,3185.0523756956272,3185.05237569561,3185.05237569561,3185.05237569561,3185.05237569561,3185.0523756956272
5,3262.7447154679226,3263.0578675003,3263.0578675003,3263.0578675003,3263.0578675003,3263.0578675003176,3263.0578675003
6,3256.9512239732076,3255.54194498456,3255.54194498456,3255.54194498456,3255.5419449845776,3255.54194498456,3255.54194498456
7,3217.4838182123167,3217.3271701403373,3217.3271701403373,3217.327170140355,3217.3271701403373,3217.3271701403373,3217.3271701403373
8,3228.6051971175016,3228.291935957943,3228.291935957961,3228.291935957943,3228.291935957943,3228.291935957943,3228.291935957943
9,3240.1951624347716,3241.7612697810155,3241.7612697809977,3241.7612697809977,3241.7612697809977,3241.7612697809977,3241.7612697810155
10,3289.2025639371277,3340.532510983698,3340.532510983698,3340.532510983698,3340.532510983698,3340.532510983716,3340.532510983698
11,3535.124977723685,3550.2699204124165,3550.2699204124165,3550.2699204124165,3550.269920412435,3550.2699204124165,3550.2699204124165
12,3517.322799123783,3486.2393788628638,3486.2393788628638,3486.239378862882,3486.2393788628638,3486.2393788628638,3486.2393788628638
13,3354.7687200282103,3344.9131013555025,3344.9131013555184,3344.9131013555025,3344.9131013555025,3344.9131013555025,3344.9131013555025
14,3281.8451747228496,3274.4872379921185,3274.4872379921,3274.4872379921,3274.4872379921,3274.4872379921,3274.4872379921185
15,3213.254233169373,3208.2411573739087,3208.2411573739087,3208.2411573739087,3208.2411573739087,3208.241157373927,3208.2411573739087
16,3173.455945600753,3171.575315290305,3171.575315290305,3171.575315290305,3171.575315290323,3171.575315290305,3171.575315290305
17,3148.5346913754047,3145.7130215935026,3145.7130215935026,3145.7130215935217,3145.7130215935026,3145.7130215935026,3145.7130215935026
18,3116.2374364633233,3115.1397716412557,3115.1397716412744,3115.1397716412557,3115.1397716412557,3115.1397716412557,3115.1397716412557
19,3100.5553543982633,3098.8301735802715,3098.8301735802547,3098.8301735802547,3098.8301735802547,3098.8301735802547,3098.8301735802715
20,3118.7463388887713,3116.0806279487915,3116.0806279487915,3116.0806279487915,3116.0806279487915,3116.08062794881,3116.0806279487915
21,3117.805507936593,3115.296581647316,3115.296581647316,3115.296581647316,3115.2965816473347,3115.296581647316,3115.296581647316
22,3103.5351413089306,3102.907825208179,3102.907825208179,3102.907825208197,3102.907825208179,3102.907825208179,3102.907825208179
23,3097.7323155758927,3097.261801272611,3097.261801272628,3097.261801272611,3097.261801272611,3097.261801272611,3097.261801272611
24,3093.96813848412,3093.6544505941965,3093.654450594177,3093.654450594177,3093.654450594177,3093.654450594177,3093.6544505941965
25,3155.431767529288,3153.707543580061,3153.707543580061,3153.707543580061,3153.707543580061,3153.707543580079,2768.024075644182
26,3084.4002103097537,3084.086492077834,3084.086492077834,3084.086492077834,3084.086492077852,2698.1310716868675,2698.1310716868675
27,3093.8112946634906,3094.909196185575,3094.909196185575,3094.909196185593,2708.9960605596934,2708.9960605596934,2708.9960605596934
28,3135.679765948974,3137.2475292337936,3137.2475292338095,2751.499778321476,2751.499778321476,2751.499778321476,2751.499778321476
29,3256.324880235727,3257.4209791726803,2872.142370669293,2872.142370669293,2872.142370669293,2872.142370669293,2872.142370669293
30,3360.5564825655474,3097.147820423937,3097.147820423937,3097.147820423937,3097.147820423937,3097.147820423937,3097.147820423937
31,3051.497240271831,3049.3004612288537,3049.3004612288537,3049.3004612288537,3049.3004612288537,3049.3004612288537,3049.3004612288537
32,3236.0093463205735,3235.696108615714,3235.696108615714,3235.696108615714,3235.696108615714,3235.696108615714,3235.696108615714
33,3665.4630448754583,3664.9952251492105,3664.9952251492105,3664.9952251492105,3664.9952251492105,3664.9952251492105,3664.9952251492105
34,3829.219676558893,3827.974219109055,3827.974219109055,3827.974219109055,3827.974219109055,3827.974219109055,3827.974219109055
35,3463.939712273914,3463.0021603440796,3463.0021603440796,3463.0021603440796,3463.0021603440796,3463.0021603440796,3463.0021603440796
36,3349.0233673411617,3348.0847247723514,3348.0847247723514,3348.0847247723514,3348.0847247723514,3348.0847247723514,3348.0847247723514
