,fd1,fd2,fd3,fd4,fd5,fd6,fd7
0,489.69547282570966,489.69547282570966,489.69547282570966,489.69547282570966,489.69547282570966,489.69547282570966,489.69547282570966
1,555.5030950811993,555.5030950811993,555.5030950811993,555.5030950811993,555.5030950811993,555.5030950811993,555.5030950811993
2,559.6151659394827,559.6151659394827,559.6151659394827,559.6151659394827,559.6151659394827,559.6151659394827,559.6151659394827
3,1084.0001160392826,1084.0001160392826,1084.0001160392826,1084.0001160392826,1084.0001160392826,1084.0001160392826,1084.0001160392826
4,5108.085517735891,5108.085517735891,5108.085517735891,5108.085517735891,5108.085517735891,5108.085517735891,5108.085517735891
5,3336.8904877957702,3336.8904877957702,3336.8904877957702,3336.8904877957702,3336.8904877957702,3336.8904877957702,3336.8904877957702
6,4168.641398474412,4168.641398474412,4168.641398474412,4168.641398474412,4168.641398474412,4168.641398474412,4168.641398474412
7,16222.681274971419,16222.681274971419,16222.681274971419,16222.681274971419,16222.681274971419,16222.681274971419,16222.681274971419
8,21728.960528963435,21728.960528963435,21728.960528963435,21728.960528963435,21728.960528963435,21728.960528963435,21728.960528963435
9,10259.674751767827,10259.674751767827,10259.674751767827,10259.674751767827,10259.674751767827,10259.674751767827,10259.674751767827
10,18992.943288444472,18992.943288444472,18992.943288444472,18992.943288444472,18992.943288444472,18992.943288444472,18992.943288444472
11,13289.502532456449,13289.502532456449,13289.502532456449,13289.502532456449,13289.502532456449,13289.502532456449,13289.502532456449
12,8840.124952616126,8840.124952616126,8840.124952616126,8840.124952616126,8840.124952616126,8840.124952616126,8840.124952616126
13,6247.650280709942,6247.650280709942,6247.650280709942,6247.650280709942,6247.650280709942,6247.650280709942,6247.650280709942
14,5014.020094831698,5014.020094831698,5014.020094831698,5014.020094831698,5014.020094831698,5014.020094831698,5014.020094831698
15,7018.972752017328,7018.972752017328,7018.972752017328,7018.972752017328,7018.972752017328,7018.972752017328,7018.972752017328
16,2736.423715003632,2736.423715003632,2736.423715003632,2736.423715003632,2736.423715003632,2736.423715003632,2736.423715003632
