,fd1,fd2,fd3,fd4,fd5,fd6,fd7
0,0.0,14125.64554282601,20320.421766391722,21816.943367993612,30141.19288184718,23766.101610145473,20365.209950954493
1,4118.585985274243,10269.294130503695,11773.121776084048,20106.228248229476,13720.880449451357,10324.171215307233,12090.299704627938
2,10321.46861609178,11770.713199145637,20109.543785925976,13729.949483870794,10335.880501843614,12095.298205701409,8969.050702939647
3,11822.375965510382,20118.191812991256,13738.333970537315,10346.176433382861,12103.934219179337,8979.494846980699,5038.108128612235
4,20173.604208456316,13763.510947784223,10355.869587448931,12113.83313105602,8989.416553989737,5048.050886020581,8996.333583776643
5,13817.738091692652,10385.082556556557,12137.07473211412,9012.912858332631,5071.56374961638,9020.54087238686,10469.073185489604
6,10436.4199126774,12155.13607567218,9023.530541670465,5082.1892937628145,9030.45893240811,10479.718003707207,5334.225999096634
7,12203.940274431618,9036.147985387535,5091.1848589068395,9039.93263169215,10488.740383253593,5343.49757725804,13788.823432312594
8,9084.683375095392,5097.234211659888,9044.637764610568,10493.578619081705,5348.284728251318,13792.19004915994,10758.870631730413
9,5144.721214544719,9044.676363329472,10495.269043202126,5350.285283729387,13794.912242096518,10758.96653553886,12821.423969405969
10,9090.607604393743,10500.988441360652,5347.481491633815,13792.293191930534,10757.693551344328,12819.001089356403,22934.41400823557
11,10550.448831710513,5356.460292766293,13803.12365680467,10768.621253092999,12830.053392988295,22945.434086710764,21214.051380967798
12,5408.260743629551,13810.191274319863,10771.36655205832,12833.140611877981,22948.279865123717,21217.22290643648,18051.878484166573
13,13860.589659653662,10784.70655207194,12840.720853124843,22955.306769153733,21224.466146881732,18059.13191075554,18613.541432064045
14,10833.17376225055,12847.423697235776,22961.434247061752,21226.879432499372,18063.933397381013,18618.44293092379,22689.1131487496
15,12895.645325777168,22958.021933875087,21226.861591912962,18063.7521946685,18618.525604010538,22689.01053182007,21471.464677888773
16,22745.820242460963,20961.173012179563,17798.361274074505,18353.39190628198,22423.934973819498,21206.38162352222,15484.233035703415
17,20761.226202910333,17566.50941173035,18126.437166772535,22196.980247522377,20979.41827153892,15257.26319164399,12723.598750052643
18,17970.152701574494,18476.37235989271,22544.65189252755,21327.117607606902,15604.966512773357,13071.357450007603,11206.279235605212
