,fd1,fd2,fd3,fd4,fd5,fd6,fd7
0,3323.209201449533,3649.8004980811975,3396.4788400318157,3496.7586543383154,3565.5215698288866,4065.2396657062236,3767.8201418175727
1,3076.837581623461,3379.2164914041437,3144.6752541610804,3237.5206582969013,3301.1857211256583,3763.856388064727,3488.486553324862
2,2746.859307246417,3016.8093129297977,2807.4216662428166,2890.3097796774455,2947.1470243282747,3360.198150348685,3114.3606066292023
3,2058.9150001659837,2261.256676177621,2104.309662009121,2166.4386467866825,2209.0411402128952,2518.644605142955,2334.376482988784
4,1411.5141413825809,1550.2319306349073,1442.6350021901922,1485.2282809783896,1514.4349368745338,1726.687346000017,1600.360100724881
5,1364.5387736743874,1498.6400174974115,1394.6239283300213,1435.7996974565633,1464.0343521803322,1669.2229745017717,1547.0999157979086
6,1600.7855638177953,1758.1041679816458,1636.079453729242,1684.384110268516,1717.5071175096236,1958.2206764122757,1814.95407735771
7,1912.4765496514315,2100.426858604558,1954.6425575960807,2012.3526750274264,2051.9251049857985,2339.508306002758,2168.3460858820895
8,1735.7753233433364,1906.3601644254686,1774.0454480607145,1826.4235008859025,1862.3396784824301,2123.3519370768195,1968.00406730646
9,1525.7555215315183,1675.7004825356437,1559.3951598602687,1605.4357402455062,1637.0062468331084,1866.4373773383727,1729.8857932291185
10,2107.6021090218796,2314.728553324228,2154.070217239663,2217.6683644861605,2261.278277953903,2578.2029278760565,2389.5774222838763
11,2522.0510274838543,2769.907802458448,2577.656845856413,2653.7612357327052,2705.946810324319,3085.1930331049916,2859.4753095593464
12,2713.3479663905555,2980.0046156830094,2773.171472162835,2855.048360954513,2911.1921983115008,3319.204152125875,3076.3657957695814
13,2623.6717205406376,2881.5153581826635,2681.518057340235,2760.688912073746,2814.97719362877,3209.5043379999106,2974.6917978736537
14,2012.0089778681222,2209.7409234314296,2056.369462476917,2117.0830301318265,2158.7149572615026,2461.265063005615,2281.194921169161
15,1770.9595907579028,1945.0021965546202,1810.0054531435935,1863.4452121657023,1900.0894127846054,2166.3924051400763,2007.8956249555765
16,1397.6273101027787,1534.9803588410869,1428.4419960513167,1470.6162314457258,1499.5355449123567,1709.6997614311617,1584.6153553807603
17,2332.5172520139386,2561.747429102604,2383.94425696068,2454.3293524270257,2502.593147138046,2853.3387695529773,2644.5838797755137
18,3353.9251980324348,3683.5351361468474,3427.8720584902903,3529.078746263627,3598.4772285660365,4102.814154735095,3802.6456203190696
19,4495.340858225889,4937.124420647693,4594.453487019379,4730.103071255811,4823.119407212232,5499.093454531427,5096.770863107582
20,4404.6842772523805,4837.558484730351,4501.798122785361,4634.7120907681665,4725.852586102387,5388.194408883004,4993.9853714113915
21,3873.619147017639,4254.302463412502,3959.0241449285727,4075.912906727738,4156.064750894771,4738.549170911819,4391.869232155805
22,3482.8594522562726,3825.1405171985816,3559.6490366099742,3664.7463921949166,3736.812746030412,4260.537792569983,3948.829941132488
23,3256.433499011938,3576.4623549663584,3328.2308765095004,3426.4956942765984,3493.87690560556,3983.553795874044,3692.1105426389704
24,2079.6586115844702,2152.211976935658,2223.377337385404,2263.6518240483865,2589.2309132308187,2395.2762261107646,2366.0421341429005
25,1764.3780349758417,1825.9321590403115,1886.3087026370538,1920.4774932463713,2196.698114458456,2032.1473618354044,2007.3452190927237
26,2015.5149696102287,2085.830545996829,2154.800928205325,2193.8332147116002,2509.370353540024,2321.39787904879,2293.0654644611377
27,1732.0551636566963,1792.4816348078687,1851.752098408892,1885.2949271210978,2156.455270196556,1994.9190375329842,1970.571262534868
28,1395.3239805667686,1444.0028598700426,1491.7504726119018,1518.7721947026544,1737.2158893440633,1607.084133788402,1587.469842603477
29,1405.5458715345294,1454.5813634980893,1502.6787666099385,1529.8984449465663,1749.9424185628357,1618.857341316112,1599.099359383594
30,1526.734020404011,1579.9974216946998,1632.2418507888392,1661.8084482102474,1900.8249238077765,1758.4375061837877,1736.9759631620934
31,1566.8096242105826,1621.471149168517,1675.086954686772,1705.4296527441347,1950.7201285612666,1804.5951498038526,1782.5702576435913
32,1772.4332982520768,1834.2684475080011,1894.9206400556707,1929.2454281886096,2206.7271339200443,2041.4251252688591,2016.5097484087464
33,2212.2353328929776,2289.4139224249893,2365.116022754353,2407.9579785992564,2754.2924975094224,2547.973340395323,2516.875596363634
34,2662.2091381024975,2755.0860320129173,2846.186115387335,2897.742224562816,3314.5219890724265,3066.2370361707485,3028.813938770315
35,3115.7383684515626,3224.4376053963942,3331.0573375114764,3391.3964540696206,3879.178080573377,3588.5957431480288,3544.79731320201
36,3282.495560631977,3397.0124810282223,3509.3385995775966,3572.9071213251386,4086.7952705255966,3780.660698298724,3734.5181359718677
37,3032.4631625378424,3138.2571647457335,3242.0272416278044,3300.7536578363597,3775.4982091481406,3492.682346671075,3450.0545295433167
38,2768.1643361062547,2864.7377050769574,2959.463546936666,3013.0715752036294,3446.4390607305495,3188.2724343834857,3149.359907907693
39,2764.1535024503933,2860.586944859123,2955.17553706582,3008.7058918792272,3441.445464939522,3183.652899980457,3144.7967544314706
40,2941.5359962999196,3044.1578086706613,3144.8163822877486,3201.7819109527654,3662.291441285248,3387.955696641058,3346.6060571552302
41,2624.12799196847,2715.6763431589143,2805.4732999163616,2856.2919329486226,3267.109937771198,3022.3765373899464,2985.488752719267
42,3319.1871277167234,3434.984112377929,3548.5658065215416,3612.8448939460495,4132.477258531468,3822.9207297516177,3776.2623882287794
43,3755.444380519013,3886.461138114756,4014.971438555359,4087.69904575698,4675.629273378862,4325.386192248647,4272.595313116497
44,3658.5835417608346,3786.2211005864046,3911.416849078292,3982.2686577536556,4555.034923615339,4213.825350951792,4162.396060040212
45,3549.8739781096747,3673.7189699029373,3795.194706255104,3863.9412550349152,4419.6885926351,4088.6175731395915,4038.716429859484
46,3167.8974598888863,3278.416378966333,3386.820981214518,3448.1702061725427,3944.1175524671116,3648.6707145877745,3604.1390759951328
