,fd1,fd2,fd3,fd4,fd5,fd6,fd7
0,6759.631895606095,6759.631895606095,6759.631895606095,6759.631895606095,6759.631895606095,6759.631895606095,6759.631895606095
1,6759.631895606095,6759.631895606095,6759.631895606095,6759.631895606095,6759.631895606095,6759.631895606095,6759.631895606095
2,6759.631895606095,6759.631895606095,6759.631895606095,6759.631895606095,6759.631895606095,6759.631895606095,6759.631895606095
3,6759.631895606095,6759.631895606095,6759.631895606095,6759.631895606095,6759.631895606095,6759.631895606095,6759.631895606095
4,6759.631895606095,6759.631895606095,6759.631895606095,6759.631895606095,6759.631895606095,6759.631895606095,6759.631895606095
5,6759.631895606095,6759.631895606095,6759.631895606095,6759.631895606095,6759.631895606095,6759.631895606095,6759.631895606095
6,6759.631895606095,6759.631895606095,6759.631895606095,6759.631895606095,6759.631895606095,6759.631895606095,6759.631895606095
7,6759.631895606095,6759.631895606095,6759.631895606095,6759.631895606095,6759.631895606095,6759.631895606095,6759.631895606095
8,6759.631895606095,6759.631895606095,6759.631895606095,6759.631895606095,6759.631895606095,6759.631895606095,6759.631895606095
9,6759.631895606095,6759.631895606095,6759.631895606095,6759.631895606095,6759.631895606095,6759.631895606095,6759.631895606095
10,6759.631895606095,6759.631895606095,6759.631895606095,6759.631895606095,6759.631895606095,6759.631895606095,6759.631895606095
11,6759.631895606095,6759.631895606095,6759.631895606095,6759.631895606095,6759.631895606095,6759.631895606095,6759.631895606095
12,6759.631895606095,6759.631895606095,6759.631895606095,6759.631895606095,6759.631895606095,6759.631895606095,6759.631895606095
13,6759.631895606095,6759.631895606095,6759.631895606095,6759.631895606095,6759.631895606095,6759.631895606095,6759.631895606095
14,6759.631895606095,6759.631895606095,6759.631895606095,6759.631895606095,6759.631895606095,6759.631895606095,6759.631895606095
15,6759.631895606095,6759.631895606095,6759.631895606095,6759.631895606095,6759.631895606095,6759.631895606095,6759.631895606095
16,6759.631895606095,6759.631895606095,6759.631895606095,6759.631895606095,6759.631895606095,6759.631895606095,6759.631895606095
17,6759.631895606095,6759.631895606095,6759.631895606095,6759.631895606095,6759.631895606095,6759.631895606095,6759.631895606095
18,6759.631895606095,6759.631895606095,6759.631895606095,6759.631895606095,6759.631895606095,6759.631895606095,6759.631895606095
19,6759.631895606095,6759.631895606095,6759.631895606095,6759.631895606095,6759.631895606095,6759.631895606095,6759.631895606095
20,6759.631895606095,6759.631895606095,6759.631895606095,6759.631895606095,6759.631895606095,6759.631895606095,6759.631895606095
21,6759.631895606095,6759.631895606095,6759.631895606095,6759.631895606095,6759.631895606095,6759.631895606095,6759.631895606095
22,6759.631895606095,6759.631895606095,6759.631895606095,6759.631895606095,6759.631895606095,6759.631895606095,6759.631895606095
23,6759.631895606095,6759.631895606095,6759.631895606095,6759.631895606095,6759.631895606095,6759.631895606095,6759.631895606095
24,6759.631895606095,6759.631895606095,6759.631895606095,6759.631895606095,6759.631895606095,6759.631895606095,6759.631895606095
25,6759.631895606095,6759.631895606095,6759.631895606095,6759.631895606095,6759.631895606095,6759.631895606095,6759.631895606095
26,6759.631895606095,6759.631895606095,6759.631895606095,6759.631895606095,6759.631895606095,6759.631895606095,6759.631895606095
27,6759.631895606095,6759.631895606095,6759.631895606095,6759.631895606095,6759.631895606095,6759.631895606095,6759.631895606095
28,6759.631895606095,6759.631895606095,6759.631895606095,6759.631895606095,6759.631895606095,6759.631895606095,6759.631895606095
29,6759.631895606095,6759.631895606095,6759.631895606095,6759.631895606095,6759.631895606095,6759.631895606095,6759.631895606095
30,6759.631895606095,6759.631895606095,6759.631895606095,6759.631895606095,6759.631895606095,6759.631895606095,6759.631895606095
31,6686.8356302416905,6686.8356302416905,6686.8356302416905,6686.8356302416905,6686.8356302416905,6686.8356302416905,6686.8356302416905
32,5393.415045664097,5393.415045664097,5393.415045664097,5393.415045664097,5393.415045664097,5393.415045664097,5393.415045664097
33,4362.9215247782,4362.9215247782,4362.9215247782,4362.9215247782,4362.9215247782,4362.9215247782,4362.9215247782
34,3527.672658176948,3527.672658176948,3527.672658176948,3527.672658176948,3527.672658176948,3527.672658176948,3527.672658176948
35,2857.3027549174353,2857.3027549174353,2857.3027549174353,2857.3027549174353,2857.3027549174353,2857.3027549174353,2857.3027549174353
36,2328.407320872915,2328.407320872915,2328.407320872915,2328.407320872915,2328.407320872915,2328.407320872915,2328.407320872915
37,1901.7387391270188,1901.7387391270188,1901.7387391270188,1901.7387391270188,1901.7387391270188,1901.7387391270188,1901.7387391270188
38,1565.7322254957278,1565.7322254957278,1565.7322254957278,1565.7322254957278,1565.7322254957278,1565.7322254957278,1565.7322254957278
39,1364.6168166477696,1364.6168166477696,1364.6168166477696,1364.6168166477696,1364.6168166477696,1364.6168166477696,1364.6168166477696
40,1276.3479506685358,1276.3479506685358,1276.3479506685358,1276.3479506685358,1276.3479506685358,1276.3479506685358,1276.3479506685358
