,fd1,fd2,fd3,fd4,fd5,fd6,fd7
0,13061.0,13061.0,13061.0,13061.0,13061.0,13061.0,13061.0
1,13061.0,13061.0,13061.0,13061.0,13061.0,13061.0,13061.0
2,13061.0,13061.0,13061.0,13061.0,13061.0,13061.0,13061.0
3,10990.253014414291,10990.253014414291,10990.253014414291,10990.253014414291,10990.253014414291,10990.253014414291,10990.253014414291
4,8461.978846779079,8461.978846779079,8461.978846779079,8461.978846779079,8461.978846779079,8461.978846779079,8461.978846779079
5,6862.4584550098625,6862.4584550098625,6862.4584550098625,6862.4584550098625,6862.4584550098625,6862.4584550098625,6862.4584550098625
6,5675.717519181089,5675.717519181089,5675.717519181089,5675.717519181089,5675.717519181089,5675.717519181089,5675.717519181089
7,4077.8998426676276,4077.8998426676276,4077.8998426676276,4077.8998426676276,4077.8998426676276,4077.8998426676276,4077.8998426676276
8,4203.95236902544,4203.95236902544,4203.95236902544,4203.95236902544,4203.95236902544,4203.95236902544,4203.95236902544
9,3608.002029511426,3608.002029511426,3608.002029511426,3608.002029511426,3608.002029511426,3608.002029511426,3608.002029511426
10,3211.578959512623,3211.578959512623,3211.578959512623,3211.578959512623,3211.578959512623,3211.578959512623,3211.578959512623
11,2987.2333252089925,2987.2333252089925,2987.2333252089925,2987.2333252089925,2987.2333252089925,2987.2333252089925,2987.2333252089925
12,2475.2320075468656,2475.2320075468656,2475.2320075468656,2475.2320075468656,2475.2320075468656,2475.2320075468656,2475.2320075468656
13,2262.0830159856196,2262.0830159856196,2262.0830159856196,2262.0830159856196,2262.0830159856196,2262.0830159856196,2262.0830159856196
14,1735.170040477644,1735.170040477644,1735.170040477644,1735.170040477644,1735.170040477644,1735.170040477644,1735.170040477644
15,1951.9824497103616,1951.9824497103616,1951.9824497103616,1951.9824497103616,1951.9824497103616,1951.9824497103616,1951.9824497103616
16,1764.2193946894527,1764.2193946894527,1764.2193946894527,1764.2193946894527,1764.2193946894527,1764.2193946894527,1764.2193946894527
17,2078.3961580921223,2078.3961580921223,2078.3961580921223,2078.3961580921223,2078.3961580921223,2078.3961580921223,2078.3961580921223
18,1921.9011468587018,1921.9011468587018,1921.9011468587018,1921.9011468587018,1921.9011468587018,1921.9011468587018,1921.9011468587018
19,1987.6362752172174,1987.6362752172174,1987.6362752172174,1987.6362752172174,1987.6362752172174,1987.6362752172174,1987.6362752172174
20,2946.264964206903,2946.264964206903,2946.264964206903,2946.264964206903,2946.264964206903,2946.264964206903,2946.264964206903
21,3259.306584105737,3259.306584105737,3259.306584105737,3259.306584105737,3259.306584105737,3259.306584105737,3259.306584105737
22,2766.7059008728106,2766.7059008728106,2766.7059008728106,2766.7059008728106,2766.7059008728106,2766.7059008728106,2766.7059008728106
23,2744.0030307960865,2744.0030307960865,2744.0030307960865,2744.0030307960865,2744.0030307960865,2744.0030307960865,2744.0030307960865
24,3434.2218785604996,3434.2218785604996,3434.2218785604996,3434.2218785604996,3434.2218785604996,3434.2218785604996,3434.2218785604996
25,9906.706942570629,9906.706942570629,9906.706942570629,9906.706942570629,9906.706942570629,9906.706942570629,9906.706942570629
26,7120.445614972639,7120.445614972639,7120.445614972639,7120.445614972639,7120.445614972639,7120.445614972639,7120.445614972639
27,6914.055887002418,6914.055887002418,6914.055887002418,6914.055887002418,6914.055887002418,6914.055887002418,6914.055887002418
28,5624.120087188534,5624.120087188534,5624.120087188534,5624.120087188534,5624.120087188534,5624.120087188534,5624.120087188534
29,5115.678992333894,5115.678992333894,5115.678992333894,5115.678992333894,5115.678992333894,5115.678992333894,5115.678992333894
30,4781.534022750105,4781.534022750105,4781.534022750105,4781.534022750105,4781.534022750105,4781.534022750105,4781.534022750105
31,2825.888155368272,2825.888155368272,2825.888155368272,2825.888155368272,2825.888155368272,2825.888155368272,2825.888155368272
32,3032.071493610523,3032.071493610523,3032.071493610523,3032.071493610523,3032.071493610523,3032.071493610523,3032.071493610523
33,5314.535495233202,5314.535495233202,5314.535495233202,5314.535495233202,5314.535495233202,5314.535495233202,5314.535495233202
34,3771.720681223804,3771.720681223804,3771.720681223804,3771.720681223804,3771.720681223804,3771.720681223804,3771.720681223804
35,4094.1530337452823,4094.1530337452823,4094.1530337452823,4094.1530337452823,4094.1530337452823,4094.1530337452823,4094.1530337452823
36,4691.444906491103,4691.444906491103,4691.444906491103,4691.444906491103,4691.444906491103,4691.444906491103,4691.444906491103
37,5211.340631248091,5211.340631248091,5211.340631248091,5211.340631248091,5211.340631248091,5211.340631248091,5211.340631248091
38,4190.485439275383,4190.485439275383,4190.485439275383,4190.485439275383,4190.485439275383,4190.485439275383,4190.485439275383
