,SHA_otf,ORO_otf,YRS_otf,FOL_otf,NML_otf,DNP_otf,EXC_otf,MIL_otf,ISB_otf,SUC_otf,KWH_otf,PFT_otf
0,64986.47427495809,44829.24206827526,15256.247655132447,24503.139562897228,5328.105008970435,3529.1664264664682,7068.554105193967,5426.480170182615,4603.150619686311,3202.1917354339553,5503.767045277111,4753.253357284777
1,52817.047193218656,35068.79926719725,12786.574766182212,19896.17674180844,5557.759407514304,2822.3936316678996,6059.671005252373,4517.316058402221,4603.150619686311,3074.5017443717293,5503.767045277111,4753.253357284777
2,43191.62354905498,27474.932326515598,10810.836455022023,15939.885739607356,5049.221448808583,2324.8978114944894,5102.03061918084,3766.9448718275316,4603.150619686311,2468.3696205417077,4846.565806556657,4753.253357284777
3,35296.618028210716,22650.945337576286,9230.245806093868,12612.973025760279,4528.48863426139,1866.463303399994,4257.15230009952,3141.275407272088,4603.150619686311,1983.1316641926312,3907.9565074419993,4753.253357284777
4,29072.348274528995,20443.01149076228,7965.773286951352,9973.982033537044,4154.108953006191,1528.5289037817722,3563.084326786564,2738.8929130201664,4603.150619686311,1594.5816641908891,3157.5555012748946,4753.253357284777
5,24238.173107076378,15577.831421325625,6954.195271637337,7946.222285808361,3767.611752890406,1233.10021757657,3661.3347097118885,2428.50133640668,4603.150619686311,1285.070634099131,2556.748263216589,4753.253357284777
6,20153.36233025648,11647.84944072405,6144.93285938612,7461.849717235014,3332.90013065578,1073.8600919469823,4908.1734210015375,2364.179415277453,4603.150619686311,1037.2819925644842,2077.713374329473,4753.253357284777
7,16822.47102632626,8549.364756633177,5315.512787760713,7269.957572932457,3063.6461122696846,858.1485640522976,6193.013765709059,2364.6221584638574,4603.150619686311,838.441379272093,1696.435378370788,4753.253357284777
8,14532.556296060196,6058.542795058661,4651.976730460397,6889.762183883683,2799.585541311918,745.2647982797645,6573.03932978315,2186.2444632526413,4603.150619686311,678.9818760782769,1392.5374500387466,4753.253357284777
9,13761.326588904649,5084.790457505333,4121.147884620135,7290.739650953511,2587.5998518752535,613.9837383927758,6366.19743495764,2130.5667861591132,4603.150619686311,551.3800222953981,1150.619376900853,4753.253357284777
10,12288.853239129927,3840.3468304700245,3696.4848079479348,6824.592488864737,2399.5804835649988,562.8477491929589,5633.429970224268,1887.9756618350084,4603.150619686311,446.30853483044643,957.1965287035238,4753.253357284777
11,10107.551388116948,2742.544484173542,3356.75434661017,6234.238929004088,2213.2248962329845,520.2509919568182,4882.239175510741,1646.0978355293496,4603.150619686311,359.0293158118539,805.2366945221016,4753.253357284777
12,10691.39481148715,1931.462761835603,3084.969977539961,5602.292888948989,2184.677967983893,417.8745788920304,4168.721126262762,1539.0346871090894,4603.150619686311,286.4113758936989,649.7913157818443,4753.253357284777
13,11176.478841245138,1732.1739150618057,2867.5424822837954,5013.42344077731,2111.524295627263,379.9452602346379,3556.9602732318162,1482.457368781501,4603.150619686311,226.63581463995743,472.5298476183852,4753.253357284777
14,15059.161082405193,1965.0468447839219,2766.1192722213236,4387.974173511018,2034.0176164781808,453.45012678070225,3041.9414702805157,1410.8606595608676,4603.150619686311,176.0384131619545,297.51676938540345,4753.253357284777
15,14621.834535735785,1876.6629042770016,2684.9807041713507,4058.7693830220946,1958.0048524205963,361.2568862160924,2624.7150661844294,1343.0422722334179,4603.150619686311,134.0677588851606,118.04107979956444,4753.253357284777
16,13478.024642270591,2408.141536213795,2620.0698497313706,3684.5277970396883,2046.115640602921,677.259373329998,2275.59764980154,1271.913104654288,4603.150619686311,99.43794490678728,0.0,4753.253357284777
17,13192.281490918209,2916.9578361142526,2568.1411661793863,3445.453609091816,2009.7055339353476,930.061363021104,1994.6658601499282,1219.4587154050646,4603.150619686311,70.07570728442343,0.0,4753.253357284777
18,14687.648965745218,3624.4918901859237,2526.5982193378036,3234.2412715898295,1994.2162530043884,921.2461362438547,1768.5803639824887,1160.1054711564211,4603.150619686311,47.30664602320768,0.0,4753.253357284777
19,14209.246237227351,3394.3951423869275,2493.3638618645286,3018.675331309027,1929.8499249937538,1004.757175709317,1590.0943038416906,992.5756223434178,4322.062845406413,126.01770800066016,0.0,4753.253357284777
20,13014.835970844422,3305.2159321547288,2466.77637588591,2949.5917224530435,1892.364283323555,860.2748061598235,1439.4139651016988,662.7554226951529,3572.2464348983394,133.7290748869074,0.0,4753.253357284777
21,12517.418726861366,3290.464636270757,2357.5417000818547,2846.07353995474,1861.26992098174,952.6081189311536,1314.1050205233705,350.2397210630889,2933.9801198573196,177.47289336449958,0.0,4753.253357284777
22,13517.865020812798,4886.879902415874,2270.153959438615,2829.2948002876446,1789.2115402003044,2604.4118522856047,1221.7493554880707,350.2397210630889,2438.9307554846987,189.7585817380048,0.0,4753.253357284777
23,14191.000904697356,6170.04404460141,2200.243766924021,2789.38868450535,1749.6270360008655,4553.622620119567,1147.8648234598306,350.2397210630889,2036.293282040356,170.30044877395153,0.0,4753.253357284777
24,13441.603399939992,9287.531759313184,2144.315612912346,2974.8277272781465,1763.8521663760648,4611.961982408024,1291.4047213060262,350.2397210630889,1675.0119400115022,144.35199940832035,0.0,4753.253357284777
25,11929.939658616531,8220.05204413708,2099.573089703001,3390.8912223551933,1775.969503346657,4160.529454892244,1346.9760118529448,350.2397210630889,1410.6947797114155,120.40119070429414,0.0,4753.253357284777
26,10200.338469519416,8097.247531360061,2063.7790711355324,3962.771071031745,1718.2065835780982,3664.471808587504,1534.3732518805223,350.2397210630889,1094.0643728896766,97.48030225485928,0.0,4753.253357284777
27,8659.187445128582,7015.175131329936,2035.1438562815506,4054.8887821264416,1696.3249258876826,3200.083806530267,1572.6190067228565,350.2397210630889,836.5118692461796,75.70062174841301,0.0,4753.253357284777
28,8185.411755668478,6398.870590530646,1980.5180993619429,3874.797827248334,1791.6161983122727,2831.563291326758,1529.0653779093975,350.2397210630889,558.809086449404,56.14110122027326,0.0,4753.253357284777
29,7743.746187577738,5892.43281610509,1936.817493826259,3901.846593676027,1784.3576163249006,2536.740576697416,1445.9801547969973,350.2397210630889,451.8062906979709,37.23076303007625,0.0,4753.253357284777
30,7753.774682313005,3865.9288691429024,1932.8397608121732,8201.767221955046,1667.7345536684754,2502.521018216773,1289.6632703339826,350.2397210630889,15.010273759846665,0.0,0.0,4753.253357284777
31,7639.379949668828,5678.115001416319,1929.6575744009047,6980.591624423641,1618.061656256017,2427.5616337301485,1164.1299671131392,350.2397210630889,15.010273759846665,0.0,0.0,4753.253357284777
32,7234.465325369819,6640.098465959618,1927.1118252718964,6051.852078221529,1446.727884009508,2366.367944979005,3270.988081548279,350.2397210630889,15.010273759846665,0.0,0.0,4753.253357284777
33,6631.273509753806,7695.0118084899605,1925.0752259686853,5273.7092246262355,1308.4120362780889,2426.6242447069735,3292.472118748317,1274.9937332599354,15.010273759846665,0.0,0.0,4753.253357284777
34,8668.643497017227,8298.96367301304,1923.4459465261168,4597.426944920246,1289.3922545150454,2479.145742337776,3050.0771961963446,1475.9261051673363,15.010273759846665,0.0,0.0,4753.253357284777
35,11553.765073401388,9184.71559675742,1922.1425229720571,3986.9392731637017,1224.2232317365094,2521.1629404424048,3314.4032209096326,1698.2144433222913,15.010273759846665,0.0,33.83506161981592,4753.253357284777
36,11662.462458624783,11711.242674897905,1921.0997841288186,3501.6007855574517,1863.0031746110374,2430.9741946174977,3869.650070541382,1953.5945853925969,15.010273759846665,0.0,105.60448244203012,4753.253357284777
37,11065.692844837624,17953.96922396868,1804.5432485230797,2991.940081819279,2593.977301071999,2448.9565474896053,4241.493556127598,1866.7345574802582,15.010273759846665,0.0,158.55887705680385,4077.3389597779333
38,9653.371818420712,20251.010695718647,1711.298020038484,2752.75806475624,3606.3247509632324,2418.7670266791174,4024.683403737825,1571.9579878054465,15.010273759846665,0.0,198.05913640175362,3430.9046373781325
39,9323.521305585655,20156.718123806004,1636.7018372508053,3870.6159348769775,3688.6031704616876,2394.026802142299,3705.5514208345667,1004.2058402719853,15.010273759846665,0.0,228.74496033078645,2897.5078021087975
