,Site1,Site2,Site3,Site4,Site5,Site6,Site7
0,244,1224.5,2428,3316,3283.5,3587.5,3601
1,293.5,1033,744,3184.5,1518,3569,3485.5
2,247,1902.5,2930,2779.5,2032,3357,3277.5
3,598.5,1296,969.5,2410,704.5,3568,2496.5
4,2469.5,2917,3240.5,3585.5,3650,3808,3857.5
5,220,722,1380,2330.5,3058.5,3372,3586.5
6,1574,531,2163.5,3440.5,3155,3720,3838
7,1573,910,687,3124,1341,2609,1719.5
8,733,345,706,1481.5,530,1315,2280.5
9,242,259,1662,3143,1241.5,2846,3281
10,290.5,345.5,1296.5,3421,2443,3463,3487
11,140.5,349,719.5,2553,1174,3613.5,3711.5
12,735,1691.5,1194,3671,3381,3810.5,3749.5
13,376,334,810.5,3342.5,2874,3753,3925.5
14,1037.5,523,248,2571,317,3037,3758
15,191.5,503.5,1077,3290.5,3125,3372.5,3671
16,307.5,2253.5,1285.5,3336.5,3838.5,3256.5,3364.5
17,86,312,2805,3757.5,3751.5,3841.5,3750.5
18,739.5,1277,3305,3206,2977.5,3007,3460.5
19,1762.5,1714,1629,2686.5,2572.5,2571.5,2936.5
20,2292.5,2772,1744,3952,3969.5,4151.5,4153.5
21,852.5,2033.5,1791,3904.5,3902.5,4211.5,3848.5
22,564.5,1161.5,2543,3831.5,3532.5,4065,4023.5
23,825.5,2712,1632,4024,4041.5,4217,4271
24,1607.5,758.5,1411.5,4086.5,4151,4293,4327.5
25,246,1336.5,2232,3360,3043,3382,3818
26,1433.5,1571,3563.5,4025,3869,3861.5,3748.5
27,1268,456.5,2493,4119.5,3192,4309.5,4402.5
28,895.5,2637,943.5,1719,2630,3295,4306
29,2440,2502,3300.5,4251.5,4239.5,4514.5,4502
30,665.5,888,1933,2711,937.5,3372.5,3909.5
31,187.5,537,678,2702.5,2410,4228,4479
32,177,169,308.5,2397.5,625.5,3714.5,4085
33,486.5,343.5,200,387.5,331,555.5,1754.5
34,1220,2229,3984.5,4363.5,3693.5,4460.5,4329.5
35,224,537.5,1766.5,3760.5,2812,4434,4641.5
36,211.5,449.5,803.5,864.5,549.5,1337,3931.5
37,359,173.5,255.5,2587,1737.5,4076.5,4684
38,2240.5,1188,878,4223.5,3150.5,2958,2078
39,3750.5,4005,2170.5,4670,4692,4817.5,4813.5
40,413.5,615.5,2790.5,4356,4077,4711.5,4826
41,1239.5,1802,3841,4578.5,2964.5,4425,4843.5
42,1158.5,509,504.5,3264,2209,4373,4434
43,1528,1871.5,1872,4747,4611,4919,4489
44,698.5,1473.5,1470,706,403.5,892.5,1133
