Albany,Goshen,Harrisburg,Jasper,Jefferson,Mehama,Monroe,Salem,Vida,Waterloo,BLU5A,CGR5A,DET5A,DOR5A,FAL5A,FOS_loc,FRN5M,GPR5A,GPR5H,HCR5A,HCR5H,LOP_loc,LOP5E,DEX_loc,BCL_loc,COT5A
62.013792,11.5815712,41.908864,13.733648,137.619648,37.661344,3.5396,150.07904,71.0468512,-74.1333824,434,763,2509,542,484,5699,657,1857,4462,721,1190,2321,0,0,0,199
66.7143808,10.9869184,42.8716352,13.875232,125.443424,25.48512,4.5590048,138.75232,68.7531904,-77.8995168,435,686,2261,466,443,5621,611,1640,4529,651,1190,2209,0,0,0,177
49.6110336,9.1180096,41.76728,13.592064,125.443424,21.520768,2.3786112,110.43552,64.3357696,-85.7715872,431,641,2027,409,384,5575,564,1445,4610,605,1070,2025,0,0,0,164
47.6571744,8.2968224,33.8668928,10.477216,153.477056,23.502944,1.8689088,106.471168,62.4668608,-92.3694016,337,587,1799,367,362,4996,493,1379,4097,573,925,1832,0,0,0,153
52.1312288,7.9003872,32.6492704,9.5144448,105.055328,17.839584,1.557424,95.144448,64.137552,-59.748448,309,593,1702,333,335,3609,486,1153,2825,544,784,1646,0,0,0,150
51.8763776,10.1374144,34.0934272,11.7797888,103.073152,19.82176,1.4441568,67.677152,62.6367616,-58.4458752,312,588,1677,417,412,3623,558,1109,2857,567,479,1386,0,0,0,185
64.42072,12.317808,28.599968,11.2134528,95.993952,18.689088,1.3308896,60.597952,60.5696352,-41.0876768,327,562,1689,463,415,1895,718,1041,1168,552,480,1344,0,0,0,198
85.1203008,12.9124608,25.201952,11.043552,69.659328,18.40592,6.796032,64.279136,59.7767648,-8.636624,393,584,1742,559,414,1886,994,1213,1097,650,482,1500,0,0,0,237
206.71264,40.0116384,-34.546496,18.40592,91.746432,33.413824,37.7462944,12.74256,69.8292288,-32.3661024,1158,869,3735,2830,813,3141,2923,2904,1274,2518,942,4854,0,0,0,920
497.243008,87.78208,71.924672,28.599968,235.02944,55.500928,48.7898464,28.3168,88.065248,-128.2467872,1049,1131,4423,3552,1470,5435,3767,3571,2970,3067,1540,6306,0,0,0,1241
339.8016,75.605856,121.195904,29.166304,273.823456,48.13856,34.6314464,150.07904,90.9535616,-162.4817984,1309,1164,4090,3098,1744,7109,3252,3237,4767,2566,1460,5485,0,0,0,1394
265.328416,92.595936,124.310752,38.794016,276.938304,55.21776,36.3304544,178.39584,98.259296,-165.65328,1468,1213,4774,3180,1656,7229,3044,3760,4863,2596,1390,5460,0,0,0,1313
406.34608,198.500768,33.98016,135.071136,405.213408,190.005728,97.2115744,36.81184,246.0446752,-227.667072,5354,4812,12858,7807,5888,10052,6293,10923,3084,6575,1440,11735,0,0,0,3021
691.213088,331.7029952,713.300192,169.2495136,919.446496,246.922496,148.8897344,-263.34624,348.438224,-255.417536,4876,6536,16607,10669,7054,10246,10369,12874,318,9222,1390,15837,0,0,0,3406
440.609408,91.746432,361.322368,79.003872,648.45472,125.443424,70.5937824,144.41568,206.2029376,-238.144288,2281,3541,9623,5175,3230,8705,6975,7465,3653,5374,1260,9686,0,0,0,2301
805.046624,106.188,408.045088,94.86128,492.145984,101.374144,50.2056864,588.98944,165.086944,-194.0550304,1393,2365,6443,3825,2369,8081,5315,5162,4591,3559,1160,6741,0,0,0,1596
347.447136,47.855392,338.952096,73.906848,337.536256,76.45536,25.5700704,622.9696,139.318656,-151.353296,1063,1835,4939,2567,1753,7101,3932,3887,4434,2412,2680,6365,0,0,0,968
267.59376,38.794016,297.892736,75.605856,342.066944,92.595936,32.6492704,345.46496,137.902816,-169.5893152,1029,1659,4623,2601,2081,7269,2577,4256,4517,2246,4950,8338,0,0,0,791
181.793856,38.794016,290.530368,70.508832,260.797728,80.419712,30.6670944,260.51456,130.25728,-101.7139456,966,1662,4349,2439,1774,6920,2009,4046,4529,2190,5220,8636,0,0,0,664
125.443424,36.528672,243.807648,59.182112,233.330432,61.447456,24.4373984,229.36608,113.550368,-113.125616,762,1349,3644,1938,1361,6420,1554,3184,4426,1795,4570,7416,0,0,0,519
94.011776,26.5328416,200.766112,50.120736,204.730464,47.855392,20.7562144,203.88096,105.055328,-110.1806688,591,1137,3195,1478,1040,6089,1253,2562,4438,1504,2630,5090,0,0,0,418
72.20784,29.8459072,178.679008,41.908864,181.510688,39.077184,21.3225504,172.73248,96.9000896,-103.8660224,506,1001,2753,1195,803,5859,905,2186,4424,1249,1720,3728,0,0,0,363
47.855392,24.0409632,150.645376,31.6015488,163.387936,33.696992,13.9601824,158.57408,92.0296,-98.3159296,507,931,2590,1001,693,5719,957,1894,4466,1118,1260,3039,0,0,0,329
45.590048,22.4269056,120.063232,24.1825472,136.770144,28.599968,13.6770144,158.57408,86.0547552,-66.4312128,485,870,2300,849,614,4572,752,1687,3452,1023,1200,2806,0,0,0,287
46.156384,20.5013632,115.532544,23.36136,123.461248,29.449472,12.8275104,164.23744,82.9115904,-42.3052992,438,840,2170,742,538,3204,762,1439,2227,961,1200,2706,0,0,0,262
35.112832,13.875232,70.225664,17.3298816,97.409792,25.48512,11.4116704,150.645376,78.3809024,-36.953424,462,826,2171,641,503,3140,606,1367,2209,891,1200,2596,0,0,0,245
