,Constraint,Time,Value
0,Bal1Constraint,1,31.245399999999997
1,Bal1Constraint,2,31.245399999999997
2,Bal1Constraint,3,31.245399999999997
3,Bal1Constraint,4,31.245399999999997
4,Bal1Constraint,5,31.245399999999997
5,Bal1Constraint,6,31.245399999999997
6,Bal1Constraint,7,31.245399999999997
7,Bal1Constraint,8,31.245399999999997
8,Bal1Constraint,9,31.245399999999997
9,Bal1Constraint,10,31.245399999999997
10,Bal1Constraint,11,31.245399999999997
11,Bal1Constraint,12,31.245399999999997
12,Bal1Constraint,13,31.245399999999997
13,Bal1Constraint,14,31.245399999999997
14,Bal1Constraint,15,31.031800000000004
15,Bal1Constraint,16,31.245399999999997
16,Bal1Constraint,17,31.245399999999997
17,Bal1Constraint,18,31.245399999999997
18,Bal1Constraint,19,32.3832
19,Bal1Constraint,20,33.921
20,Bal1Constraint,21,32.3832
21,Bal1Constraint,22,31.67
22,Bal1Constraint,23,31.245399999999997
23,Bal1Constraint,24,31.245399999999997
24,Bal2Constraint,1,31.245399999999997
25,Bal2Constraint,2,31.245399999999997
26,Bal2Constraint,3,31.245399999999997
27,Bal2Constraint,4,31.245399999999997
28,Bal2Constraint,5,31.245399999999997
29,Bal2Constraint,6,31.245399999999997
30,Bal2Constraint,7,31.245399999999997
31,Bal2Constraint,8,31.245399999999997
32,Bal2Constraint,9,31.245399999999997
33,Bal2Constraint,10,31.245399999999997
34,Bal2Constraint,11,31.245399999999997
35,Bal2Constraint,12,31.245399999999997
36,Bal2Constraint,13,31.245399999999997
37,Bal2Constraint,14,31.245399999999997
38,Bal2Constraint,15,31.031800000000004
39,Bal2Constraint,16,31.245399999999997
40,Bal2Constraint,17,31.245399999999997
41,Bal2Constraint,18,31.245399999999997
42,Bal2Constraint,19,32.3832
43,Bal2Constraint,20,33.921
44,Bal2Constraint,21,32.3832
45,Bal2Constraint,22,31.67
46,Bal2Constraint,23,31.245399999999997
47,Bal2Constraint,24,31.245399999999997
48,Bal3Constraint,1,36.9554
49,Bal3Constraint,2,36.9554
50,Bal3Constraint,3,36.9554
51,Bal3Constraint,4,36.9554
52,Bal3Constraint,5,36.9554
53,Bal3Constraint,6,36.9554
54,Bal3Constraint,7,36.9554
55,Bal3Constraint,8,36.9554
56,Bal3Constraint,9,36.9554
57,Bal3Constraint,10,36.9554
58,Bal3Constraint,11,36.58
59,Bal3Constraint,12,36.695
60,Bal3Constraint,13,36.9554
61,Bal3Constraint,14,36.9554
62,Bal3Constraint,15,36.741800000000005
63,Bal3Constraint,16,36.9554
64,Bal3Constraint,17,36.9554
65,Bal3Constraint,18,36.9554
66,Bal3Constraint,19,38.0932
67,Bal3Constraint,20,39.631
68,Bal3Constraint,21,38.0932
69,Bal3Constraint,22,37.38
70,Bal3Constraint,23,36.9554
71,Bal3Constraint,24,36.9554
72,Bal4Constraint,1,46.1636
73,Bal4Constraint,2,45.0014
74,Bal4Constraint,3,39.824
75,Bal4Constraint,4,39.458600000000004
76,Bal4Constraint,5,39.458600000000004
77,Bal4Constraint,6,39.458600000000004
78,Bal4Constraint,7,39.458600000000004
79,Bal4Constraint,8,39.458600000000004
80,Bal4Constraint,9,38.6618
81,Bal4Constraint,10,38.29639999999999
82,Bal4Constraint,11,38.29639999999999
83,Bal4Constraint,12,38.29639999999999
84,Bal4Constraint,13,38.29639999999999
85,Bal4Constraint,14,38.29639999999999
86,Bal4Constraint,15,38.3489
87,Bal4Constraint,16,39.458600000000004
88,Bal4Constraint,17,45.0014
89,Bal4Constraint,18,46.9154
90,Bal4Constraint,19,48.053200000000004
91,Bal4Constraint,20,49.591
92,Bal4Constraint,21,48.053200000000004
93,Bal4Constraint,22,47.34
94,Bal4Constraint,23,46.9154
95,Bal4Constraint,24,46.1636
96,Bal1Constraint,25,30.582699999999996
97,Bal1Constraint,26,30.582699999999996
98,Bal1Constraint,27,30.582699999999996
99,Bal1Constraint,28,30.582699999999996
100,Bal1Constraint,29,30.582699999999996
101,Bal1Constraint,30,30.582699999999996
102,Bal1Constraint,31,30.582699999999996
103,Bal1Constraint,32,30.582699999999996
104,Bal1Constraint,33,30.582699999999996
105,Bal1Constraint,34,30.582699999999996
106,Bal1Constraint,35,30.582699999999996
107,Bal1Constraint,36,30.582699999999996
108,Bal1Constraint,37,30.582699999999996
109,Bal1Constraint,38,30.582699999999996
110,Bal1Constraint,39,30.582699999999996
111,Bal1Constraint,40,30.582699999999996
112,Bal1Constraint,41,30.582699999999996
113,Bal1Constraint,42,30.582699999999996
114,Bal1Constraint,43,31.878999999999998
115,Bal1Constraint,44,31.766
116,Bal1Constraint,45,31.422099999999993
117,Bal1Constraint,46,31.2532
118,Bal1Constraint,47,30.932499999999997
119,Bal1Constraint,48,31.245399999999997
120,Bal2Constraint,25,30.582699999999996
121,Bal2Constraint,26,30.582699999999996
122,Bal2Constraint,27,30.582699999999996
123,Bal2Constraint,28,30.582699999999996
124,Bal2Constraint,29,30.582699999999996
125,Bal2Constraint,30,30.582699999999996
126,Bal2Constraint,31,30.582699999999996
127,Bal2Constraint,32,30.582699999999996
128,Bal2Constraint,33,30.582699999999996
129,Bal2Constraint,34,30.582699999999996
130,Bal2Constraint,35,30.582699999999996
131,Bal2Constraint,36,30.582699999999996
132,Bal2Constraint,37,30.582699999999996
133,Bal2Constraint,38,30.582699999999996
134,Bal2Constraint,39,30.582699999999996
135,Bal2Constraint,40,30.582699999999996
136,Bal2Constraint,41,30.582699999999996
137,Bal2Constraint,42,30.582699999999996
138,Bal2Constraint,43,31.878999999999998
139,Bal2Constraint,44,31.766
140,Bal2Constraint,45,31.422099999999993
141,Bal2Constraint,46,31.2532
142,Bal2Constraint,47,30.932499999999997
143,Bal2Constraint,48,31.245399999999997
144,Bal3Constraint,25,36.292699999999996
145,Bal3Constraint,26,36.292699999999996
146,Bal3Constraint,27,36.292699999999996
147,Bal3Constraint,28,36.292699999999996
148,Bal3Constraint,29,36.292699999999996
149,Bal3Constraint,30,36.292699999999996
150,Bal3Constraint,31,36.292699999999996
151,Bal3Constraint,32,36.292699999999996
152,Bal3Constraint,33,36.292699999999996
153,Bal3Constraint,34,36.292699999999996
154,Bal3Constraint,35,36.292699999999996
155,Bal3Constraint,36,36.292699999999996
156,Bal3Constraint,37,36.292699999999996
157,Bal3Constraint,38,36.292699999999996
158,Bal3Constraint,39,36.292699999999996
159,Bal3Constraint,40,36.292699999999996
160,Bal3Constraint,41,36.292699999999996
161,Bal3Constraint,42,36.292699999999996
162,Bal3Constraint,43,37.589
163,Bal3Constraint,44,37.476
164,Bal3Constraint,45,37.132099999999994
165,Bal3Constraint,46,36.9632
166,Bal3Constraint,47,36.6425
167,Bal3Constraint,48,36.9554
168,Bal4Constraint,25,46.1636
169,Bal4Constraint,26,46.2527
170,Bal4Constraint,27,46.2527
171,Bal4Constraint,28,46.2527
172,Bal4Constraint,29,46.2527
173,Bal4Constraint,30,46.2527
174,Bal4Constraint,31,46.2527
175,Bal4Constraint,32,46.2527
176,Bal4Constraint,33,46.2527
177,Bal4Constraint,34,39.458600000000004
178,Bal4Constraint,35,39.458600000000004
179,Bal4Constraint,36,38.7512
180,Bal4Constraint,37,38.483000000000004
181,Bal4Constraint,38,38.6618
182,Bal4Constraint,39,39.064099999999996
183,Bal4Constraint,40,46.2527
184,Bal4Constraint,41,46.2527
185,Bal4Constraint,42,46.2527
186,Bal4Constraint,43,47.549
187,Bal4Constraint,44,50.37300000000001
188,Bal4Constraint,45,47.60685
189,Bal4Constraint,46,49.30265000000001
190,Bal4Constraint,47,46.6025
191,Bal4Constraint,48,46.9154
