,Generator,Time,Value,Zones
0,HERMISTON_1,1,0.0,PNW
1,HERMISTON_1,2,0.0,PNW
2,HERMISTON_1,3,0.0,PNW
3,HERMISTON_1,4,0.0,PNW
4,HERMISTON_1,5,106.1,PNW
5,HERMISTON_1,6,0.0,PNW
6,HERMISTON_1,7,0.0,PNW
7,HERMISTON_1,8,0.0,PNW
8,HERMISTON_1,9,0.0,PNW
9,HERMISTON_1,10,0.0,PNW
10,HERMISTON_1,11,0.0,PNW
11,HERMISTON_1,12,0.0,PNW
12,HERMISTON_1,13,0.0,PNW
13,HERMISTON_1,14,0.0,PNW
14,HERMISTON_1,15,0.0,PNW
15,HERMISTON_1,16,0.0,PNW
16,HERMISTON_1,17,0.0,PNW
17,HERMISTON_1,18,0.0,PNW
18,HERMISTON_1,19,0.0,PNW
19,HERMISTON_1,20,0.0,PNW
20,HERMISTON_1,21,0.0,PNW
21,HERMISTON_1,22,0.0,PNW
22,HERMISTON_1,23,106.1,PNW
23,HERMISTON_1,24,0.0,PNW
24,MINT_FARM_1STG,1,0.0,PNW
25,MINT_FARM_1STG,2,0.0,PNW
26,MINT_FARM_1STG,3,0.0,PNW
27,MINT_FARM_1STG,4,0.0,PNW
28,MINT_FARM_1STG,5,0.0,PNW
29,MINT_FARM_1STG,6,0.0,PNW
30,MINT_FARM_1STG,7,0.0,PNW
31,MINT_FARM_1STG,8,0.0,PNW
32,MINT_FARM_1STG,9,0.0,PNW
33,MINT_FARM_1STG,10,0.0,PNW
34,MINT_FARM_1STG,11,0.0,PNW
35,MINT_FARM_1STG,12,0.0,PNW
36,MINT_FARM_1STG,13,0.0,PNW
37,MINT_FARM_1STG,14,133.0,PNW
38,MINT_FARM_1STG,15,0.0,PNW
39,MINT_FARM_1STG,16,0.0,PNW
40,MINT_FARM_1STG,17,0.0,PNW
41,MINT_FARM_1STG,18,0.0,PNW
42,MINT_FARM_1STG,19,0.0,PNW
43,MINT_FARM_1STG,20,133.0,PNW
44,MINT_FARM_1STG,21,0.0,PNW
45,MINT_FARM_1STG,22,133.0,PNW
46,MINT_FARM_1STG,23,0.0,PNW
47,MINT_FARM_1STG,24,0.0,PNW
48,HERMISTON_PWR_CTG2,1,0.0,PNW
49,HERMISTON_PWR_CTG2,2,0.0,PNW
50,HERMISTON_PWR_CTG2,3,0.0,PNW
51,HERMISTON_PWR_CTG2,4,0.0,PNW
52,HERMISTON_PWR_CTG2,5,0.0,PNW
53,HERMISTON_PWR_CTG2,6,0.0,PNW
54,HERMISTON_PWR_CTG2,7,0.0,PNW
55,HERMISTON_PWR_CTG2,8,0.0,PNW
56,HERMISTON_PWR_CTG2,9,0.0,PNW
57,HERMISTON_PWR_CTG2,10,0.0,PNW
58,HERMISTON_PWR_CTG2,11,0.0,PNW
59,HERMISTON_PWR_CTG2,12,0.0,PNW
60,HERMISTON_PWR_CTG2,13,0.0,PNW
61,HERMISTON_PWR_CTG2,14,0.0,PNW
62,HERMISTON_PWR_CTG2,15,0.0,PNW
63,HERMISTON_PWR_CTG2,16,0.0,PNW
64,HERMISTON_PWR_CTG2,17,0.0,PNW
65,HERMISTON_PWR_CTG2,18,0.0,PNW
66,HERMISTON_PWR_CTG2,19,0.0,PNW
67,HERMISTON_PWR_CTG2,20,0.0,PNW
68,HERMISTON_PWR_CTG2,21,0.0,PNW
69,HERMISTON_PWR_CTG2,22,154.25396573476502,PNW
70,HERMISTON_PWR_CTG2,23,0.0,PNW
71,HERMISTON_PWR_CTG2,24,0.0,PNW
72,CHEHALIS_CT1,1,0.0,PNW
73,CHEHALIS_CT1,2,0.0,PNW
74,CHEHALIS_CT1,3,0.0,PNW
75,CHEHALIS_CT1,4,0.0,PNW
76,CHEHALIS_CT1,5,0.0,PNW
77,CHEHALIS_CT1,6,175.27973499826257,PNW
78,CHEHALIS_CT1,7,0.0,PNW
79,CHEHALIS_CT1,8,234.0,PNW
80,CHEHALIS_CT1,9,0.0,PNW
81,CHEHALIS_CT1,10,0.0,PNW
82,CHEHALIS_CT1,11,0.0,PNW
83,CHEHALIS_CT1,12,0.0,PNW
84,CHEHALIS_CT1,13,234.0,PNW
85,CHEHALIS_CT1,14,0.0,PNW
86,CHEHALIS_CT1,15,0.0,PNW
87,CHEHALIS_CT1,16,0.0,PNW
88,CHEHALIS_CT1,17,0.0,PNW
89,CHEHALIS_CT1,18,0.0,PNW
90,CHEHALIS_CT1,19,0.0,PNW
91,CHEHALIS_CT1,20,234.0,PNW
92,CHEHALIS_CT1,21,0.0,PNW
93,CHEHALIS_CT1,22,0.0,PNW
94,CHEHALIS_CT1,23,0.0,PNW
95,CHEHALIS_CT1,24,0.0,PNW
96,SUMAS_GEN1,1,0.0,PNW
97,SUMAS_GEN1,2,0.0,PNW
98,SUMAS_GEN1,3,0.0,PNW
99,SUMAS_GEN1,4,0.0,PNW
100,SUMAS_GEN1,5,0.0,PNW
101,SUMAS_GEN1,6,0.0,PNW
102,SUMAS_GEN1,7,0.0,PNW
103,SUMAS_GEN1,8,0.0,PNW
104,SUMAS_GEN1,9,87.8,PNW
105,SUMAS_GEN1,10,0.0,PNW
106,SUMAS_GEN1,11,87.8,PNW
107,SUMAS_GEN1,12,0.0,PNW
108,SUMAS_GEN1,13,0.0,PNW
109,SUMAS_GEN1,14,0.0,PNW
110,SUMAS_GEN1,15,0.0,PNW
111,SUMAS_GEN1,16,0.0,PNW
112,SUMAS_GEN1,17,0.0,PNW
113,SUMAS_GEN1,18,0.0,PNW
114,SUMAS_GEN1,19,0.0,PNW
115,SUMAS_GEN1,20,0.0,PNW
116,SUMAS_GEN1,21,0.0,PNW
117,SUMAS_GEN1,22,0.0,PNW
118,SUMAS_GEN1,23,0.0,PNW
119,SUMAS_GEN1,24,0.0,PNW
120,COYOTE_SPRINGS_1_GEN_2,1,0.0,PNW
121,COYOTE_SPRINGS_1_GEN_2,2,0.0,PNW
122,COYOTE_SPRINGS_1_GEN_2,3,0.0,PNW
123,COYOTE_SPRINGS_1_GEN_2,4,0.0,PNW
124,COYOTE_SPRINGS_1_GEN_2,5,0.0,PNW
125,COYOTE_SPRINGS_1_GEN_2,6,0.0,PNW
126,COYOTE_SPRINGS_1_GEN_2,7,80.6,PNW
127,COYOTE_SPRINGS_1_GEN_2,8,0.0,PNW
128,COYOTE_SPRINGS_1_GEN_2,9,0.0,PNW
129,COYOTE_SPRINGS_1_GEN_2,10,0.0,PNW
130,COYOTE_SPRINGS_1_GEN_2,11,0.0,PNW
131,COYOTE_SPRINGS_1_GEN_2,12,0.0,PNW
132,COYOTE_SPRINGS_1_GEN_2,13,0.0,PNW
133,COYOTE_SPRINGS_1_GEN_2,14,80.6,PNW
134,COYOTE_SPRINGS_1_GEN_2,15,0.0,PNW
135,COYOTE_SPRINGS_1_GEN_2,16,0.0,PNW
136,COYOTE_SPRINGS_1_GEN_2,17,80.6,PNW
137,COYOTE_SPRINGS_1_GEN_2,18,0.0,PNW
138,COYOTE_SPRINGS_1_GEN_2,19,0.0,PNW
139,COYOTE_SPRINGS_1_GEN_2,20,0.0,PNW
140,COYOTE_SPRINGS_1_GEN_2,21,0.0,PNW
141,COYOTE_SPRINGS_1_GEN_2,22,0.0,PNW
142,COYOTE_SPRINGS_1_GEN_2,23,0.0,PNW
143,COYOTE_SPRINGS_1_GEN_2,24,0.0,PNW
144,FREDERICKSON_2,1,0.0,PNW
145,FREDERICKSON_2,2,0.0,PNW
146,FREDERICKSON_2,3,0.0,PNW
147,FREDERICKSON_2,4,0.0,PNW
148,FREDERICKSON_2,5,0.0,PNW
149,FREDERICKSON_2,6,0.0,PNW
150,FREDERICKSON_2,7,0.0,PNW
151,FREDERICKSON_2,8,0.0,PNW
152,FREDERICKSON_2,9,0.0,PNW
153,FREDERICKSON_2,10,0.0,PNW
154,FREDERICKSON_2,11,0.0,PNW
155,FREDERICKSON_2,12,0.0,PNW
156,FREDERICKSON_2,13,0.0,PNW
157,FREDERICKSON_2,14,0.0,PNW
158,FREDERICKSON_2,15,0.0,PNW
159,FREDERICKSON_2,16,0.0,PNW
160,FREDERICKSON_2,17,88.9,PNW
161,FREDERICKSON_2,18,0.0,PNW
162,FREDERICKSON_2,19,0.0,PNW
163,FREDERICKSON_2,20,0.0,PNW
164,FREDERICKSON_2,21,0.0,PNW
165,FREDERICKSON_2,22,0.0,PNW
166,FREDERICKSON_2,23,0.0,PNW
167,FREDERICKSON_2,24,0.0,PNW
168,HERMISTON_PWR_STG1,1,0.0,PNW
169,HERMISTON_PWR_STG1,2,0.0,PNW
170,HERMISTON_PWR_STG1,3,0.0,PNW
171,HERMISTON_PWR_STG1,4,0.0,PNW
172,HERMISTON_PWR_STG1,5,0.0,PNW
173,HERMISTON_PWR_STG1,6,0.0,PNW
174,HERMISTON_PWR_STG1,7,0.0,PNW
175,HERMISTON_PWR_STG1,8,0.0,PNW
176,HERMISTON_PWR_STG1,9,0.0,PNW
177,HERMISTON_PWR_STG1,10,0.0,PNW
178,HERMISTON_PWR_STG1,11,0.0,PNW
179,HERMISTON_PWR_STG1,12,0.0,PNW
180,HERMISTON_PWR_STG1,13,0.0,PNW
181,HERMISTON_PWR_STG1,14,0.0,PNW
182,HERMISTON_PWR_STG1,15,0.0,PNW
183,HERMISTON_PWR_STG1,16,0.0,PNW
