,Generator,Time,Value,Zones
0,COYOTE_SPRINGS_1_GEN_1,1,0.0,PNW
1,COYOTE_SPRINGS_1_GEN_1,2,185.7,PNW
2,COYOTE_SPRINGS_1_GEN_1,3,0.0,PNW
3,COYOTE_SPRINGS_1_GEN_1,4,0.0,PNW
4,COYOTE_SPRINGS_1_GEN_1,5,0.0,PNW
5,COYOTE_SPRINGS_1_GEN_1,6,0.0,PNW
6,COYOTE_SPRINGS_1_GEN_1,7,0.0,PNW
7,COYOTE_SPRINGS_1_GEN_1,8,0.0,PNW
8,COYOTE_SPRINGS_1_GEN_1,9,0.0,PNW
9,COYOTE_SPRINGS_1_GEN_1,10,0.0,PNW
10,COYOTE_SPRINGS_1_GEN_1,11,0.0,PNW
11,COYOTE_SPRINGS_1_GEN_1,12,185.7,PNW
12,COYOTE_SPRINGS_1_GEN_1,13,0.0,PNW
13,COYOTE_SPRINGS_1_GEN_1,14,185.70000000000005,PNW
14,COYOTE_SPRINGS_1_GEN_1,15,0.0,PNW
15,COYOTE_SPRINGS_1_GEN_1,16,0.0,PNW
16,COYOTE_SPRINGS_1_GEN_1,17,0.0,PNW
17,COYOTE_SPRINGS_1_GEN_1,18,0.0,PNW
18,COYOTE_SPRINGS_1_GEN_1,19,0.0,PNW
19,COYOTE_SPRINGS_1_GEN_1,20,185.7,PNW
20,COYOTE_SPRINGS_1_GEN_1,21,185.7,PNW
21,COYOTE_SPRINGS_1_GEN_1,22,185.7,PNW
22,COYOTE_SPRINGS_1_GEN_1,23,0.0,PNW
23,COYOTE_SPRINGS_1_GEN_1,24,0.0,PNW
24,BEAVER_2,1,0.0,PNW
25,BEAVER_2,2,0.0,PNW
26,BEAVER_2,3,0.0,PNW
27,BEAVER_2,4,0.0,PNW
28,BEAVER_2,5,0.0,PNW
29,BEAVER_2,6,0.0,PNW
30,BEAVER_2,7,0.0,PNW
31,BEAVER_2,8,0.0,PNW
32,BEAVER_2,9,0.0,PNW
33,BEAVER_2,10,0.0,PNW
34,BEAVER_2,11,0.0,PNW
35,BEAVER_2,12,0.0,PNW
36,BEAVER_2,13,0.0,PNW
37,BEAVER_2,14,0.0,PNW
38,BEAVER_2,15,0.0,PNW
39,BEAVER_2,16,0.0,PNW
40,BEAVER_2,17,68.3,PNW
41,BEAVER_2,18,68.3,PNW
42,BEAVER_2,19,0.0,PNW
43,BEAVER_2,20,0.0,PNW
44,BEAVER_2,21,0.0,PNW
45,BEAVER_2,22,0.0,PNW
46,BEAVER_2,23,0.0,PNW
47,BEAVER_2,24,0.0,PNW
48,MINT_FARM_CTG1,1,0.0,PNW
49,MINT_FARM_CTG1,2,0.0,PNW
50,MINT_FARM_CTG1,3,0.0,PNW
51,MINT_FARM_CTG1,4,0.0,PNW
52,MINT_FARM_CTG1,5,0.0,PNW
53,MINT_FARM_CTG1,6,0.0,PNW
54,MINT_FARM_CTG1,7,0.0,PNW
55,MINT_FARM_CTG1,8,0.0,PNW
56,MINT_FARM_CTG1,9,0.0,PNW
57,MINT_FARM_CTG1,10,186.0,PNW
58,MINT_FARM_CTG1,11,0.0,PNW
59,MINT_FARM_CTG1,12,186.0,PNW
60,MINT_FARM_CTG1,13,186.0,PNW
61,MINT_FARM_CTG1,14,186.0,PNW
62,MINT_FARM_CTG1,15,0.0,PNW
63,MINT_FARM_CTG1,16,186.0,PNW
64,MINT_FARM_CTG1,17,0.0,PNW
65,MINT_FARM_CTG1,18,0.0,PNW
66,MINT_FARM_CTG1,19,0.0,PNW
67,MINT_FARM_CTG1,20,0.0,PNW
68,MINT_FARM_CTG1,21,0.0,PNW
69,MINT_FARM_CTG1,22,0.0,PNW
70,MINT_FARM_CTG1,23,0.0,PNW
71,MINT_FARM_CTG1,24,0.0,PNW
72,CHEHALIS_CT2,1,0.0,PNW
73,CHEHALIS_CT2,2,234.0,PNW
74,CHEHALIS_CT2,3,0.0,PNW
75,CHEHALIS_CT2,4,0.0,PNW
76,CHEHALIS_CT2,5,0.0,PNW
77,CHEHALIS_CT2,6,0.0,PNW
78,CHEHALIS_CT2,7,0.0,PNW
79,CHEHALIS_CT2,8,0.0,PNW
80,CHEHALIS_CT2,9,0.0,PNW
81,CHEHALIS_CT2,10,0.0,PNW
82,CHEHALIS_CT2,11,0.0,PNW
83,CHEHALIS_CT2,12,0.0,PNW
84,CHEHALIS_CT2,13,0.0,PNW
85,CHEHALIS_CT2,14,0.0,PNW
86,CHEHALIS_CT2,15,0.0,PNW
87,CHEHALIS_CT2,16,0.0,PNW
88,CHEHALIS_CT2,17,0.0,PNW
89,CHEHALIS_CT2,18,0.0,PNW
90,CHEHALIS_CT2,19,234.0,PNW
91,CHEHALIS_CT2,20,0.0,PNW
92,CHEHALIS_CT2,21,0.0,PNW
93,CHEHALIS_CT2,22,0.0,PNW
94,CHEHALIS_CT2,23,0.0,PNW
95,CHEHALIS_CT2,24,234.0,PNW
96,OSU_ENERGY_CENTER_CTG,1,0.0,PNW
97,OSU_ENERGY_CENTER_CTG,2,0.0,PNW
98,OSU_ENERGY_CENTER_CTG,3,0.0,PNW
99,OSU_ENERGY_CENTER_CTG,4,0.0,PNW
100,OSU_ENERGY_CENTER_CTG,5,0.0,PNW
101,OSU_ENERGY_CENTER_CTG,6,0.0,PNW
102,OSU_ENERGY_CENTER_CTG,7,0.0,PNW
103,OSU_ENERGY_CENTER_CTG,8,0.0,PNW
104,OSU_ENERGY_CENTER_CTG,9,0.0,PNW
105,OSU_ENERGY_CENTER_CTG,10,0.0,PNW
106,OSU_ENERGY_CENTER_CTG,11,0.0,PNW
107,OSU_ENERGY_CENTER_CTG,12,0.0,PNW
108,OSU_ENERGY_CENTER_CTG,13,0.0,PNW
109,OSU_ENERGY_CENTER_CTG,14,0.0,PNW
110,OSU_ENERGY_CENTER_CTG,15,0.0,PNW
111,OSU_ENERGY_CENTER_CTG,16,0.0,PNW
112,OSU_ENERGY_CENTER_CTG,17,0.0,PNW
113,OSU_ENERGY_CENTER_CTG,18,0.0,PNW
114,OSU_ENERGY_CENTER_CTG,19,0.0,PNW
115,OSU_ENERGY_CENTER_CTG,20,0.0,PNW
116,OSU_ENERGY_CENTER_CTG,21,0.0,PNW
117,OSU_ENERGY_CENTER_CTG,22,0.0,PNW
118,OSU_ENERGY_CENTER_CTG,23,0.0,PNW
119,OSU_ENERGY_CENTER_CTG,24,0.0,PNW
120,BOULDER_PARK_4,1,0.0,PNW
121,BOULDER_PARK_4,2,0.0,PNW
122,BOULDER_PARK_4,3,4.1,PNW
123,BOULDER_PARK_4,4,4.1,PNW
124,BOULDER_PARK_4,5,0.0,PNW
125,BOULDER_PARK_4,6,4.1,PNW
126,BOULDER_PARK_4,7,4.1,PNW
127,BOULDER_PARK_4,8,4.1,PNW
128,BOULDER_PARK_4,9,4.1,PNW
129,BOULDER_PARK_4,10,0.0,PNW
130,BOULDER_PARK_4,11,0.0,PNW
131,BOULDER_PARK_4,12,0.0,PNW
132,BOULDER_PARK_4,13,4.1,PNW
133,BOULDER_PARK_4,14,0.0,PNW
134,BOULDER_PARK_4,15,0.0,PNW
135,BOULDER_PARK_4,16,0.0,PNW
136,BOULDER_PARK_4,17,0.0,PNW
137,BOULDER_PARK_4,18,0.0,PNW
138,BOULDER_PARK_4,19,0.0,PNW
139,BOULDER_PARK_4,20,0.0,PNW
140,BOULDER_PARK_4,21,0.0,PNW
141,BOULDER_PARK_4,22,0.0,PNW
142,BOULDER_PARK_4,23,4.1,PNW
143,BOULDER_PARK_4,24,0.0,PNW
144,GRAND_COULEE_PS,1,0.0,PNW
145,GRAND_COULEE_PS,2,0.0,PNW
146,GRAND_COULEE_PS,3,0.0,PNW
147,GRAND_COULEE_PS,4,0.0,PNW
148,GRAND_COULEE_PS,5,0.0,PNW
149,GRAND_COULEE_PS,6,0.0,PNW
150,GRAND_COULEE_PS,7,0.0,PNW
151,GRAND_COULEE_PS,8,0.0,PNW
152,GRAND_COULEE_PS,9,0.0,PNW
153,GRAND_COULEE_PS,10,0.0,PNW
154,GRAND_COULEE_PS,11,0.0,PNW
155,GRAND_COULEE_PS,12,0.0,PNW
156,GRAND_COULEE_PS,13,0.0,PNW
157,GRAND_COULEE_PS,14,0.0,PNW
158,GRAND_COULEE_PS,15,0.0,PNW
159,GRAND_COULEE_PS,16,0.0,PNW
160,GRAND_COULEE_PS,17,0.0,PNW
161,GRAND_COULEE_PS,18,0.0,PNW
162,GRAND_COULEE_PS,19,0.0,PNW
163,GRAND_COULEE_PS,20,0.0,PNW
164,GRAND_COULEE_PS,21,0.0,PNW
165,GRAND_COULEE_PS,22,0.0,PNW
166,GRAND_COULEE_PS,23,0.0,PNW
167,GRAND_COULEE_PS,24,0.0,PNW
168,BEAVER_1,1,0.0,PNW
169,BEAVER_1,2,0.0,PNW
170,BEAVER_1,3,0.0,PNW
171,BEAVER_1,4,0.0,PNW
172,BEAVER_1,5,0.0,PNW
173,BEAVER_1,6,0.0,PNW
174,BEAVER_1,7,0.0,PNW
175,BEAVER_1,8,0.0,PNW
176,BEAVER_1,9,0.0,PNW
177,BEAVER_1,10,0.0,PNW
178,BEAVER_1,11,0.0,PNW
179,BEAVER_1,12,3.836930773104541e-12,PNW
180,BEAVER_1,13,0.0,PNW
181,BEAVER_1,14,0.0,PNW
182,BEAVER_1,15,3.964828465541359e-12,PNW
183,BEAVER_1,16,0.0,PNW
184,BEAVER_1,17,0.0,PNW
185,BEAVER_1,18,0.0,PNW
186,BEAVER_1,19,0.0,PNW
187,BEAVER_1,20,0.0,PNW
188,BEAVER_1,21,0.0,PNW
189,BEAVER_1,22,0.0,PNW
190,BEAVER_1,23,0.0,PNW
191,BEAVER_1,24,0.0,PNW
192,UNIV_OF_WA_DG4,1,0.0,PNW
193,UNIV_OF_WA_DG4,2,0.0,PNW
194,UNIV_OF_WA_DG4,3,0.0,PNW
195,UNIV_OF_WA_DG4,4,0.0,PNW
196,UNIV_OF_WA_DG4,5,0.0,PNW
197,UNIV_OF_WA_DG4,6,2.0,PNW
198,UNIV_OF_WA_DG4,7,0.0,PNW
199,UNIV_OF_WA_DG4,8,0.0,PNW
200,UNIV_OF_WA_DG4,9,0.0,PNW
201,UNIV_OF_WA_DG4,10,0.0,PNW
202,UNIV_OF_WA_DG4,11,0.0,PNW
203,UNIV_OF_WA_DG4,12,0.0,PNW
