,Generator,Zone,Time,NOX lb,SO2 lb,CO2 lb,N2O lb,CO2_equivelent lb
0,RATHDRUM_1,PNW,1,0.0,0.0,0.0,0.0,0.0
1,RATHDRUM_1,PNW,2,0.0,0.0,0.0,0.0,0.0
2,RATHDRUM_1,PNW,3,0.0,0.0,0.0,0.0,0.0
3,RATHDRUM_1,PNW,4,0.0,0.0,0.0,0.0,0.0
4,RATHDRUM_1,PNW,5,0.0,0.0,0.0,0.0,0.0
5,RATHDRUM_1,PNW,6,0.0,0.0,0.0,0.0,0.0
6,RATHDRUM_1,PNW,7,0.0,0.0,0.0,0.0,0.0
7,RATHDRUM_1,PNW,8,0.0,0.0,0.0,0.0,0.0
8,RATHDRUM_1,PNW,9,0.0,0.0,0.0,0.0,0.0
9,RATHDRUM_1,PNW,10,0.0,0.0,0.0,0.0,0.0
10,RATHDRUM_1,PNW,11,0.0,0.0,0.0,0.0,0.0
11,RATHDRUM_1,PNW,12,0.0,0.0,0.0,0.0,0.0
12,RATHDRUM_1,PNW,13,0.0,0.0,0.0,0.0,0.0
13,RATHDRUM_1,PNW,14,0.0,0.0,0.0,0.0,0.0
14,RATHDRUM_1,PNW,15,0.0,0.0,0.0,0.0,0.0
15,RATHDRUM_1,PNW,16,0.0,0.0,0.0,0.0,0.0
16,RATHDRUM_1,PNW,17,0.0,0.0,0.0,0.0,0.0
17,RATHDRUM_1,PNW,18,0.0,0.0,0.0,0.0,0.0
18,RATHDRUM_1,PNW,19,0.0,0.0,0.0,0.0,0.0
19,RATHDRUM_1,PNW,20,0.0,0.0,0.0,0.0,0.0
20,RATHDRUM_1,PNW,21,0.0,0.0,0.0,0.0,0.0
21,RATHDRUM_1,PNW,22,0.0,0.0,0.0,0.0,0.0
22,RATHDRUM_1,PNW,23,0.0,0.0,0.0,0.0,0.0
23,RATHDRUM_1,PNW,24,0.0,0.0,0.0,0.0,0.0
24,RATHDRUM_2,PNW,1,0.0,0.0,0.0,0.0,0.0
25,RATHDRUM_2,PNW,2,0.0,0.0,0.0,0.0,0.0
26,RATHDRUM_2,PNW,3,0.0,0.0,0.0,0.0,0.0
27,RATHDRUM_2,PNW,4,0.0,0.0,0.0,0.0,0.0
28,RATHDRUM_2,PNW,5,0.0,0.0,0.0,0.0,0.0
29,RATHDRUM_2,PNW,6,0.0,0.0,0.0,0.0,0.0
30,RATHDRUM_2,PNW,7,0.0,0.0,0.0,0.0,0.0
31,RATHDRUM_2,PNW,8,0.0,0.0,0.0,0.0,0.0
32,RATHDRUM_2,PNW,9,0.0,0.0,0.0,0.0,0.0
33,RATHDRUM_2,PNW,10,0.0,0.0,0.0,0.0,0.0
34,RATHDRUM_2,PNW,11,0.0,0.0,0.0,0.0,0.0
35,RATHDRUM_2,PNW,12,0.0,0.0,0.0,0.0,0.0
36,RATHDRUM_2,PNW,13,0.0,0.0,0.0,0.0,0.0
37,RATHDRUM_2,PNW,14,0.0,0.0,0.0,0.0,0.0
38,RATHDRUM_2,PNW,15,0.0,0.0,0.0,0.0,0.0
39,RATHDRUM_2,PNW,16,0.0,0.0,0.0,0.0,0.0
40,RATHDRUM_2,PNW,17,0.0,0.0,0.0,0.0,0.0
41,RATHDRUM_2,PNW,18,0.0,0.0,0.0,0.0,0.0
42,RATHDRUM_2,PNW,19,0.0,0.0,0.0,0.0,0.0
43,RATHDRUM_2,PNW,20,0.0,0.0,0.0,0.0,0.0
44,RATHDRUM_2,PNW,21,0.0,0.0,0.0,0.0,0.0
45,RATHDRUM_2,PNW,22,0.0,0.0,0.0,0.0,0.0
46,RATHDRUM_2,PNW,23,0.0,0.0,0.0,0.0,0.0
47,RATHDRUM_2,PNW,24,0.0,0.0,0.0,0.0,0.0
48,RATHDRUMPWR_CTG1,PNW,1,19.734,0.0,151370.544,0.0,151515.858
49,RATHDRUMPWR_CTG1,PNW,2,19.733999999999998,0.0,151370.54399999997,0.0,151515.85799999998
50,RATHDRUMPWR_CTG1,PNW,3,19.733999999999998,0.0,151370.54399999997,0.0,151515.85799999998
51,RATHDRUMPWR_CTG1,PNW,4,19.734,0.0,151370.544,0.0,151515.858
52,RATHDRUMPWR_CTG1,PNW,5,19.733999999999998,0.0,151370.54399999997,0.0,151515.85799999998
53,RATHDRUMPWR_CTG1,PNW,6,19.733999999999998,0.0,151370.54399999997,0.0,151515.85799999998
54,RATHDRUMPWR_CTG1,PNW,7,19.733999999999998,0.0,151370.54399999997,0.0,151515.85799999998
55,RATHDRUMPWR_CTG1,PNW,8,19.733999999999998,0.0,151370.54399999997,0.0,151515.85799999998
56,RATHDRUMPWR_CTG1,PNW,9,19.734,0.0,151370.544,0.0,151515.858
57,RATHDRUMPWR_CTG1,PNW,10,19.733999999999998,0.0,151370.54399999997,0.0,151515.85799999998
58,RATHDRUMPWR_CTG1,PNW,11,19.733999999999998,0.0,151370.54399999997,0.0,151515.85799999998
59,RATHDRUMPWR_CTG1,PNW,12,19.733999999999998,0.0,151370.54399999997,0.0,151515.85799999998
60,RATHDRUMPWR_CTG1,PNW,13,19.733999999999998,0.0,151370.54399999997,0.0,151515.85799999998
61,RATHDRUMPWR_CTG1,PNW,14,19.734,0.0,151370.544,0.0,151515.858
62,RATHDRUMPWR_CTG1,PNW,15,19.734,0.0,151370.544,0.0,151515.858
63,RATHDRUMPWR_CTG1,PNW,16,19.734,0.0,151370.544,0.0,151515.858
64,RATHDRUMPWR_CTG1,PNW,17,15.7872,0.0,121096.4352,0.0,121212.68640000002
65,RATHDRUMPWR_CTG1,PNW,18,15.7872,0.0,121096.4352,0.0,121212.68640000002
66,RATHDRUMPWR_CTG1,PNW,19,19.734,0.0,151370.544,0.0,151515.858
