,Zone,Time,Value
0,PNW,1,1095.978336070722
1,PNW,2,1012.6553403272784
2,PNW,3,912.8293750961079
3,PNW,4,1174.8486698050533
4,PNW,5,1058.5801668736062
5,PNW,6,751.8109484524423
6,PNW,7,580.960912418865
7,PNW,8,486.10482689937623
8,PNW,9,241.66241265125814
9,PNW,10,207.32322431452957
10,PNW,11,266.24884038107507
11,PNW,12,192.78074803166493
12,PNW,13,192.18931247208388
13,PNW,14,95.07127875914962
14,PNW,15,72.29831696191529
15,PNW,16,96.55146882825585
16,PNW,17,145.34562767519319
17,PNW,18,226.72973757215684
18,PNW,19,211.454427324552
19,PNW,20,254.74167203083155
20,PNW,21,324.2223454699066
21,PNW,22,412.9003292959311
22,PNW,23,417.3051685283822
23,PNW,24,506.840427891406
24,PNW,25,365.87538022333257
25,PNW,26,495.2282379781158
26,PNW,27,593.335990800575
27,PNW,28,1168.499851861967
28,PNW,29,1481.980107040868
29,PNW,30,1552.6435103424253
30,PNW,31,1773.4519974127952
31,PNW,32,1854.9544776331472
32,PNW,33,1729.3397023722534
33,PNW,34,1781.1691860395908
34,PNW,35,2875.744173727498
35,PNW,36,2900.7265575910906
36,PNW,37,3099.4079822870026
37,PNW,38,3658.006340655602
38,PNW,39,3740.3438213967047
39,PNW,40,3163.14060083524
40,PNW,41,2965.0995985570726
41,PNW,42,2466.052495136181
42,PNW,43,1930.2661485371038
43,PNW,44,1535.5162461385596
44,PNW,45,1504.8189444332813
45,PNW,46,1129.1594192748364
46,PNW,47,725.917969231173
47,PNW,48,845.875041422303
48,PNW,49,1841.4861450080566
49,PNW,50,2146.9826121479564
50,PNW,51,2472.768678975226
51,PNW,52,2510.2063913286715
52,PNW,53,2169.12530054645
53,PNW,54,1930.905811193404
54,PNW,55,1500.3927795217755
55,PNW,56,1784.0780022798997
56,PNW,57,2034.7942611604983
57,PNW,58,1966.6224723014122
58,PNW,59,1877.2893231996047
59,PNW,60,2053.9564785676457
60,PNW,61,2182.88062559432
61,PNW,62,2363.8980630150213
62,PNW,63,2345.005848586657
63,PNW,64,2504.5258770459445
64,PNW,65,2608.1389091208066
65,PNW,66,2738.785093150201
66,PNW,67,2359.2087344611714
67,PNW,68,1955.0119391078524
68,PNW,69,1579.4850849596216
69,PNW,70,1279.1702781367687
70,PNW,71,1169.8907011756098
71,PNW,72,973.0720331650034
