,fd1,fd2,fd3,fd4,fd5,fd6,fd7
0,28779.0,28779.0,28779.0,28779.0,28779.0,28779.0,28779.0
1,28779.0,28779.0,28779.0,28779.0,28779.0,28779.0,28779.0
2,26263.852025396212,26263.852025396212,26263.852025396212,26263.852025396212,26263.852025396212,26263.852025396212,26263.852025396212
3,23722.451708100958,23722.451708100958,23722.451708100958,23722.451708100958,23722.451708100958,23722.451708100958,23722.451708100958
4,20819.67066605347,20819.67066605347,20819.67066605347,20819.67066605347,20819.67066605347,20819.67066605347,20819.67066605347
5,18069.75514560796,18069.75514560796,18069.75514560796,18069.75514560796,18069.75514560796,18069.75514560796,18069.75514560796
6,15655.88605132943,15655.88605132943,15655.88605132943,15655.88605132943,15655.88605132943,15655.88605132943,15655.88605132943
7,13159.154021368155,13159.154021368155,13159.154021368155,13159.154021368155,13159.154021368155,13159.154021368155,13159.154021368155
8,11474.851127870554,11474.851127870554,11474.851127870554,11474.851127870554,11474.851127870554,11474.851127870554,11474.851127870554
9,10066.127611371898,10066.127611371898,10066.127611371898,10066.127611371898,10066.127611371898,10066.127611371898,10066.127611371898
10,8893.186022821445,8893.186022821445,8893.186022821445,8893.186022821445,8893.186022821445,8893.186022821445,8893.186022821445
11,7916.667880701813,7916.667880701813,7916.667880701813,7916.667880701813,7916.667880701813,7916.667880701813,7916.667880701813
12,7058.678415371686,7058.678415371686,7058.678415371686,7058.678415371686,7058.678415371686,7058.678415371686,7058.678415371686
13,6300.917443517413,6300.917443517413,6300.917443517413,6300.917443517413,6300.917443517413,6300.917443517413,6300.917443517413
14,5709.665451283264,5709.665451283264,5709.665451283264,5709.665451283264,5709.665451283264,5709.665451283264,5709.665451283264
15,5186.56263386148,5186.56263386148,5186.56263386148,5186.56263386148,5186.56263386148,5186.56263386148,5186.56263386148
16,4693.135577689751,4693.135577689751,4693.135577689751,4693.135577689751,4693.135577689751,4693.135577689751,4693.135577689751
17,4324.107901309001,4324.107901309001,4324.107901309001,4324.107901309001,4324.107901309001,4324.107901309001,4324.107901309001
18,4110.9749778600735,4110.9749778600735,4110.9749778600735,4110.9749778600735,4110.9749778600735,4110.9749778600735,4110.9749778600735
19,4075.665077866054,4075.665077866054,4075.665077866054,4075.665077866054,4075.665077866054,4075.665077866054,4075.665077866054
20,5917.216641834078,5917.216641834078,5917.216641834078,5917.216641834078,5917.216641834078,5917.216641834078,5917.216641834078
21,8263.120051106232,8263.120051106232,8263.120051106232,8263.120051106232,8263.120051106232,8263.120051106232,8263.120051106232
22,8308.341587604016,8308.341587604016,8308.341587604016,8308.341587604016,8308.341587604016,8308.341587604016,8308.341587604016
23,9287.76506528415,9287.76506528415,9287.76506528415,9287.76506528415,9287.76506528415,9287.76506528415,9287.76506528415
24,12741.89349698866,12741.89349698866,12741.89349698866,12741.89349698866,12741.89349698866,12741.89349698866,12741.89349698866
25,13394.573223560912,13394.573223560912,13394.573223560912,13394.573223560912,13394.573223560912,13394.573223560912,13394.573223560912
26,12793.424787109867,12793.424787109867,12793.424787109867,12793.424787109867,12793.424787109867,12793.424787109867,12793.424787109867
27,11910.246106055702,11910.246106055702,11910.246106055702,11910.246106055702,11910.246106055702,11910.246106055702,11910.246106055702
28,10920.730699358079,10920.730699358079,10920.730699358079,10920.730699358079,10920.730699358079,10920.730699358079,10920.730699358079
29,10006.634692649532,10006.634692649532,10006.634692649532,10006.634692649532,10006.634692649532,10006.634692649532,10006.634692649532
30,5918.873891085921,5918.873891085921,5918.873891085921,5918.873891085921,5918.873891085921,5918.873891085921,5918.873891085921
31,5482.677484505974,5482.677484505974,5482.677484505974,5482.677484505974,5482.677484505974,5482.677484505974,5482.677484505974
32,5040.136861725768,5040.136861725768,5040.136861725768,5040.136861725768,5040.136861725768,5040.136861725768,5040.136861725768
33,4675.603171980941,4675.603171980941,4675.603171980941,4675.603171980941,4675.603171980941,4675.603171980941,4675.603171980941
34,4332.647519777872,4332.647519777872,4332.647519777872,4332.647519777872,4332.647519777872,4332.647519777872,4332.647519777872
35,4010.684237083549,4010.684237083549,4010.684237083549,4010.684237083549,4010.684237083549,4010.684237083549,4010.684237083549
36,3713.953023552962,3713.953023552962,3713.953023552962,3713.953023552962,3713.953023552962,3713.953023552962,3713.953023552962
37,3425.7858561508024,3425.7858561508024,3425.7858561508024,3425.7858561508024,3425.7858561508024,3425.7858561508024,3425.7858561508024
38,3164.8861792964854,3164.8861792964854,3164.8861792964854,3164.8861792964854,3164.8861792964854,3164.8861792964854,3164.8861792964854
39,2949.5682280820665,2949.5682280820665,2949.5682280820665,2949.5682280820665,2949.5682280820665,2949.5682280820665,2949.5682280820665
40,2749.5108293494495,2749.5108293494495,2749.5108293494495,2749.5108293494495,2749.5108293494495,2749.5108293494495,2749.5108293494495
41,2634.7036832361173,2634.7036832361173,2634.7036832361173,2634.7036832361173,2634.7036832361173,2634.7036832361173,2634.7036832361173
42,2502.6226683154673,2502.6226683154673,2502.6226683154673,2502.6226683154673,2502.6226683154673,2502.6226683154673,2502.6226683154673
43,2312.9090718282528,2312.9090718282528,2312.9090718282528,2312.9090718282528,2312.9090718282528,2312.9090718282528,2312.9090718282528
44,2203.72061959832,2203.72061959832,2203.72061959832,2203.72061959832,2203.72061959832,2203.72061959832,2203.72061959832
45,2127.304022934811,2127.304022934811,2127.304022934811,2127.304022934811,2127.304022934811,2127.304022934811,2127.304022934811
46,2073.7471884179095,2073.7471884179095,2073.7471884179095,2073.7471884179095,2073.7471884179095,2073.7471884179095,2073.7471884179095
47,2010.1474656749488,2010.1474656749488,2010.1474656749488,2010.1474656749488,2010.1474656749488,2010.1474656749488,2010.1474656749488
48,1943.8603812806643,1943.8603812806643,1943.8603812806643,1943.8603812806643,1943.8603812806643,1943.8603812806643,1943.8603812806643
49,1863.6187050481076,1863.6187050481076,1863.6187050481076,1863.6187050481076,1863.6187050481076,1863.6187050481076,1863.6187050481076
50,1772.9109881145191,1772.9109881145191,1772.9109881145191,1772.9109881145191,1772.9109881145191,1772.9109881145191,1772.9109881145191
51,1652.3724534927906,1652.3724534927906,1652.3724534927906,1652.3724534927906,1652.3724534927906,1652.3724534927906,1652.3724534927906
52,1608.000606786727,1608.000606786727,1608.000606786727,1608.000606786727,1608.000606786727,1608.000606786727,1608.000606786727
53,1575.0562285121225,1575.0562285121225,1575.0562285121225,1575.0562285121225,1575.0562285121225,1575.0562285121225,1575.0562285121225
54,1507.0120923615814,1507.0120923615814,1507.0120923615814,1507.0120923615814,1507.0120923615814,1507.0120923615814,1507.0120923615814
55,1446.3980735527416,1446.3980735527416,1446.3980735527416,1446.3980735527416,1446.3980735527416,1446.3980735527416,1446.3980735527416
56,1197.7949751617084,1197.7949751617084,1197.7949751617084,1197.7949751617084,1197.7949751617084,1197.7949751617084,1197.7949751617084
57,1134.1244168299859,1134.1244168299859,1134.1244168299859,1134.1244168299859,1134.1244168299859,1134.1244168299859,1134.1244168299859
58,997.6962327574012,997.6962327574012,997.6962327574012,997.6962327574012,997.6962327574012,997.6962327574012,997.6962327574012
59,1081.04238017211,1081.04238017211,1081.04238017211,1081.04238017211,1081.04238017211,1081.04238017211,1081.04238017211
60,1230.4314937943907,1230.4314937943907,1230.4314937943907,1230.4314937943907,1230.4314937943907,1230.4314937943907,1230.4314937943907
61,1160.7985443090322,1160.7985443090322,1160.7985443090322,1160.7985443090322,1160.7985443090322,1160.7985443090322,1160.7985443090322
62,1079.2965849141053,1079.2965849141053,1079.2965849141053,1079.2965849141053,1079.2965849141053,1079.2965849141053,1079.2965849141053
63,969.4780289857471,969.4780289857471,969.4780289857471,969.4780289857471,969.4780289857471,969.4780289857471,969.4780289857471
64,909.7300965560128,909.7300965560128,909.7300965560128,909.7300965560128,909.7300965560128,909.7300965560128,909.7300965560128
65,886.4870015785197,886.4870015785197,886.4870015785197,886.4870015785197,886.4870015785197,886.4870015785197,886.4870015785197
66,750.747503616452,750.747503616452,750.747503616452,750.747503616452,750.747503616452,750.747503616452,750.747503616452
67,731.9011054112826,731.9011054112826,731.9011054112826,731.9011054112826,731.9011054112826,731.9011054112826,731.9011054112826
68,715.4464910204708,715.4464910204708,715.4464910204708,715.4464910204708,715.4464910204708,715.4464910204708,715.4464910204708
69,715.9492525090237,715.9492525090237,715.9492525090237,715.9492525090237,715.9492525090237,715.9492525090237,715.9492525090237
70,716.4520139975767,716.4520139975767,716.4520139975767,716.4520139975767,716.4520139975767,716.4520139975767,716.4520139975767
71,716.9547754861296,716.9547754861296,716.9547754861296,716.9547754861296,716.9547754861296,716.9547754861296,716.9547754861296
72,717.4575369746826,717.4575369746826,717.4575369746826,717.4575369746826,717.4575369746826,717.4575369746826,717.4575369746826
73,717.9602984632355,717.9602984632355,717.9602984632355,717.9602984632355,717.9602984632355,717.9602984632355,717.9602984632355
74,718.4630599517885,718.4630599517885,718.4630599517885,718.4630599517885,718.4630599517885,718.4630599517885,718.4630599517885
75,718.9658214403412,718.9658214403412,718.9658214403412,718.9658214403412,718.9658214403412,718.9658214403412,718.9658214403412
76,719.4685829288944,719.4685829288944,719.4685829288944,719.4685829288944,719.4685829288944,719.4685829288944,719.4685829288944
77,719.9713444174473,719.9713444174473,719.9713444174473,719.9713444174473,719.9713444174473,719.9713444174473,719.9713444174473
78,747.447874081719,747.447874081719,747.447874081719,747.447874081719,747.447874081719,747.447874081719,747.447874081719
79,809.2122915134502,809.2122915134502,809.2122915134502,809.2122915134502,809.2122915134502,809.2122915134502,809.2122915134502
80,887.8288800238187,887.8288800238187,887.8288800238187,887.8288800238187,887.8288800238187,887.8288800238187,887.8288800238187
81,941.1695643793922,941.1695643793922,941.1695643793922,941.1695643793922,941.1695643793922,941.1695643793922,941.1695643793922
82,1016.8670419305369,1016.8670419305369,1016.8670419305369,1016.8670419305369,1016.8670419305369,1016.8670419305369,1016.8670419305369
83,1039.2730202171874,1039.2730202171874,1039.2730202171874,1039.2730202171874,1039.2730202171874,1039.2730202171874,1039.2730202171874
84,1106.4149667017232,1106.4149667017232,1106.4149667017232,1106.4149667017232,1106.4149667017232,1106.4149667017232,1106.4149667017232
85,1142.9424162138655,1142.9424162138655,1142.9424162138655,1142.9424162138655,1142.9424162138655,1142.9424162138655,1142.9424162138655
86,1138.890389656673,1138.890389656673,1138.890389656673,1138.890389656673,1138.890389656673,1138.890389656673,1138.890389656673
87,1105.4025771962226,1105.4025771962226,1105.4025771962226,1105.4025771962226,1105.4025771962226,1105.4025771962226,1105.4025771962226
88,1084.4025289573185,1084.4025289573185,1084.4025289573185,1084.4025289573185,1084.4025289573185,1084.4025289573185,1084.4025289573185
89,983.8649544668835,983.8649544668835,983.8649544668835,983.8649544668835,983.8649544668835,983.8649544668835,983.8649544668835
90,1027.7567642706913,1027.7567642706913,1027.7567642706913,1027.7567642706913,1027.7567642706913,1027.7567642706913,1027.7567642706913
91,1116.9752745814792,1116.9752745814792,1116.9752745814792,1116.9752745814792,1116.9752745814792,1116.9752745814792,1116.9752745814792
92,1189.2286057156057,1189.2286057156057,1189.2286057156057,1189.2286057156057,1189.2286057156057,1189.2286057156057,1189.2286057156057
93,1308.5845267544294,1308.5845267544294,1308.5845267544294,1308.5845267544294,1308.5845267544294,1308.5845267544294,1308.5845267544294
94,1242.6797231718763,1242.6797231718763,1242.6797231718763,1242.6797231718763,1242.6797231718763,1242.6797231718763,1242.6797231718763
95,1162.6128787407197,1162.6128787407197,1162.6128787407197,1162.6128787407197,1162.6128787407197,1162.6128787407197,1162.6128787407197
96,1170.236541828096,1170.236541828096,1170.236541828096,1170.236541828096,1170.236541828096,1170.236541828096,1170.236541828096
97,1281.4254313708898,1281.4254313708898,1281.4254313708898,1281.4254313708898,1281.4254313708898,1281.4254313708898,1281.4254313708898
98,1269.9228599876649,1269.9228599876649,1269.9228599876649,1269.9228599876649,1269.9228599876649,1269.9228599876649,1269.9228599876649
99,1276.858946858597,1276.858946858597,1276.858946858597,1276.858946858597,1276.858946858597,1276.858946858597,1276.858946858597
100,1202.477706347348,1202.477706347348,1202.477706347348,1202.477706347348,1202.477706347348,1202.477706347348,1202.477706347348
101,1138.5201102859671,1138.5201102859671,1138.5201102859671,1138.5201102859671,1138.5201102859671,1138.5201102859671,1138.5201102859671
102,1094.3533005250015,1094.3533005250015,1094.3533005250015,1094.3533005250015,1094.3533005250015,1094.3533005250015,1094.3533005250015
103,1142.3987200791848,1142.3987200791848,1142.3987200791848,1142.3987200791848,1142.3987200791848,1142.3987200791848,1142.3987200791848
104,1106.3655964724844,1106.3655964724844,1106.3655964724844,1106.3655964724844,1106.3655964724844,1106.3655964724844,1106.3655964724844
105,969.4061083639554,969.4061083639554,969.4061083639554,969.4061083639554,969.4061083639554,969.4061083639554,969.4061083639554
106,828.2181603262136,828.2181603262136,828.2181603262136,828.2181603262136,828.2181603262136,828.2181603262136,828.2181603262136
107,814.646450643289,814.646450643289,814.646450643289,814.646450643289,814.646450643289,814.646450643289,814.646450643289
108,819.5710044412448,819.5710044412448,819.5710044412448,819.5710044412448,819.5710044412448,819.5710044412448,819.5710044412448
109,824.4955582392009,824.4955582392009,824.4955582392009,824.4955582392009,824.4955582392009,824.4955582392009,824.4955582392009
110,829.4201120371569,829.4201120371569,829.4201120371569,829.4201120371569,829.4201120371569,829.4201120371569,829.4201120371569
111,834.3446658351126,834.3446658351126,834.3446658351126,834.3446658351126,834.3446658351126,834.3446658351126,834.3446658351126
112,839.2692196330685,839.2692196330685,839.2692196330685,839.2692196330685,839.2692196330685,839.2692196330685,839.2692196330685
113,844.1937734310244,844.1937734310244,844.1937734310244,844.1937734310244,844.1937734310244,844.1937734310244,844.1937734310244
114,849.1183272289804,849.1183272289804,849.1183272289804,849.1183272289804,849.1183272289804,849.1183272289804,849.1183272289804
115,854.0428810269361,854.0428810269361,854.0428810269361,854.0428810269361,854.0428810269361,854.0428810269361,854.0428810269361
116,858.967434824892,858.967434824892,858.967434824892,858.967434824892,858.967434824892,858.967434824892,858.967434824892
117,863.8919886228479,863.8919886228479,863.8919886228479,863.8919886228479,863.8919886228479,863.8919886228479,863.8919886228479
118,868.8165424208037,868.8165424208037,868.8165424208037,868.8165424208037,868.8165424208037,868.8165424208037,868.8165424208037
119,873.7410962187596,873.7410962187596,873.7410962187596,873.7410962187596,873.7410962187596,873.7410962187596,873.7410962187596
120,876.4505892708414,876.4505892708414,876.4505892708414,876.4505892708414,876.4505892708414,876.4505892708414,876.4505892708414
121,879.1600823229235,879.1600823229235,879.1600823229235,879.1600823229235,879.1600823229235,879.1600823229235,879.1600823229235
122,881.8695753750052,881.8695753750052,881.8695753750052,881.8695753750052,881.8695753750052,881.8695753750052,881.8695753750052
123,884.5790684270871,884.5790684270871,884.5790684270871,884.5790684270871,884.5790684270871,884.5790684270871,884.5790684270871
124,887.2885614791688,887.2885614791688,887.2885614791688,887.2885614791688,887.2885614791688,887.2885614791688,887.2885614791688
125,889.9980545312505,889.9980545312505,889.9980545312505,889.9980545312505,889.9980545312505,889.9980545312505,889.9980545312505
126,892.7075475833321,892.7075475833321,892.7075475833321,892.7075475833321,892.7075475833321,892.7075475833321,892.7075475833321
127,895.4170406354142,895.4170406354142,895.4170406354142,895.4170406354142,895.4170406354142,895.4170406354142,895.4170406354142
128,898.1265336874959,898.1265336874959,898.1265336874959,898.1265336874959,898.1265336874959,898.1265336874959,898.1265336874959
129,900.8360267395775,900.8360267395775,900.8360267395775,900.8360267395775,900.8360267395775,900.8360267395775,900.8360267395775
130,903.5455197916596,903.5455197916596,903.5455197916596,903.5455197916596,903.5455197916596,903.5455197916596,903.5455197916596
131,906.2550128437413,906.2550128437413,906.2550128437413,906.2550128437413,906.2550128437413,906.2550128437413,906.2550128437413
132,908.9645058958232,908.9645058958232,908.9645058958232,908.9645058958232,908.9645058958232,908.9645058958232,908.9645058958232
133,911.6739989479049,911.6739989479049,911.6739989479049,911.6739989479049,911.6739989479049,911.6739989479049,911.6739989479049
134,914.3834919999866,914.3834919999866,914.3834919999866,914.3834919999866,914.3834919999866,914.3834919999866,914.3834919999866
135,917.0929850520682,917.0929850520682,917.0929850520682,917.0929850520682,917.0929850520682,917.0929850520682,917.0929850520682
136,919.8024781041503,919.8024781041503,919.8024781041503,919.8024781041503,919.8024781041503,919.8024781041503,919.8024781041503
137,922.511971156232,922.511971156232,922.511971156232,922.511971156232,922.511971156232,922.511971156232,922.511971156232
138,925.2214642083136,925.2214642083136,925.2214642083136,925.2214642083136,925.2214642083136,925.2214642083136,925.2214642083136
139,927.9309572603956,927.9309572603956,927.9309572603956,927.9309572603956,927.9309572603956,927.9309572603956,927.9309572603956
140,930.6404503124771,930.6404503124771,930.6404503124771,930.6404503124771,930.6404503124771,930.6404503124771,930.6404503124771
141,933.3499433645593,933.3499433645593,933.3499433645593,933.3499433645593,933.3499433645593,933.3499433645593,933.3499433645593
142,936.059436416641,936.059436416641,936.059436416641,936.059436416641,936.059436416641,936.059436416641,936.059436416641
143,938.7689294687225,938.7689294687225,938.7689294687225,938.7689294687225,938.7689294687225,938.7689294687225,938.7689294687225
144,941.4784225208043,941.4784225208043,941.4784225208043,941.4784225208043,941.4784225208043,941.4784225208043,4506.6699388282
145,944.1879155728864,944.1879155728864,944.1879155728864,944.1879155728864,944.1879155728864,4506.6699388282,4506.6699388282
146,946.897408624968,946.897408624968,946.897408624968,946.897408624968,4506.6699388282,4506.6699388282,4506.6699388282
147,949.60690167705,949.60690167705,949.60690167705,4506.6699388282,4506.6699388282,4506.6699388282,4506.6699388282
148,952.3163947291317,952.3163947291317,4506.6699388282,4506.6699388282,4506.6699388282,4506.6699388282,4506.6699388282
149,955.0258877812132,4506.6699388282,4506.6699388282,4506.6699388282,4506.6699388282,4506.6699388282,4506.6699388282
150,4506.6699388282,4506.6699388282,4506.6699388282,4506.6699388282,4506.6699388282,4506.6699388282,4506.6699388282
151,4506.6699388282,4506.6699388282,4506.6699388282,4506.6699388282,4506.6699388282,4506.6699388282,4506.6699388282
152,4506.6699388282,4506.6699388282,4506.6699388282,4506.6699388282,4506.6699388282,4506.6699388282,4506.6699388282
153,4506.6699388282,4506.6699388282,4506.6699388282,4506.6699388282,4506.6699388282,4506.6699388282,4506.6699388282
154,4506.6699388282,4506.6699388282,4506.6699388282,4506.6699388282,4506.6699388282,4506.6699388282,4506.6699388282
155,4506.6699388282,4506.6699388282,4506.6699388282,4506.6699388282,4506.6699388282,4506.6699388282,4506.6699388282
156,4506.6699388282,4506.6699388282,4506.6699388282,4506.6699388282,4506.6699388282,4506.6699388282,4506.6699388282
157,4506.6699388282,4506.6699388282,4506.6699388282,4506.6699388282,4506.6699388282,4506.6699388282,3844.3729229110777
158,4506.6699388282,4506.6699388282,4506.6699388282,4506.6699388282,4506.6699388282,3722.993601535575,1175.1664689624947
159,4506.6699388282,4506.6699388282,4506.6699388282,4506.6699388282,3576.5518841938574,1145.8781254941516,1145.8781254941516
160,4506.6699388282,4506.6699388282,4506.6699388282,3461.2195265568644,1117.0450360849027,1117.0450360849027,1117.0450360849027
161,4506.6699388282,4506.6699388282,3374.465379702684,1088.1269871335094,1088.1269871335094,1088.1269871335094,1088.1269871335094
162,4506.6699388282,3307.66520045784,1054.7268975110874,1054.7268975110874,1054.7268975110874,1054.7268975110874,1054.7268975110874
163,3329.931709218832,1076.9934062720795,1076.9934062720795,1076.9934062720795,1076.9934062720795,1076.9934062720795,1076.9934062720795
164,1261.9407717887939,1261.9407717887939,1261.9407717887939,1261.9407717887939,1261.9407717887939,1261.9407717887939,1261.9407717887939
165,1066.9040010867002,1066.9040010867002,1066.9040010867002,1066.9040010867002,1066.9040010867002,1066.9040010867002,1066.9040010867002
166,1324.6940958616824,1324.6940958616824,1324.6940958616824,1324.6940958616824,1324.6940958616824,1324.6940958616824,1324.6940958616824
167,1132.2335551307622,1132.2335551307622,1132.2335551307622,1132.2335551307622,1132.2335551307622,1132.2335551307622,1132.2335551307622
168,1321.953933067744,1321.953933067744,1321.953933067744,1321.953933067744,1321.953933067744,1321.953933067744,1321.953933067744
169,1322.2017621524785,1322.2017621524785,1322.2017621524785,1322.2017621524785,1322.2017621524785,1322.2017621524785,1322.2017621524785
170,1318.3516492136337,1318.3516492136337,1318.3516492136337,1318.3516492136337,1318.3516492136337,1318.3516492136337,1318.3516492136337
171,1314.0935225164876,1314.0935225164876,1314.0935225164876,1314.0935225164876,1314.0935225164876,1314.0935225164876,1314.0935225164876
172,1306.9260145273738,1306.9260145273738,1306.9260145273738,1306.9260145273738,1306.9260145273738,1306.9260145273738,1306.9260145273738
173,1304.782627035248,1304.782627035248,1304.782627035248,1304.782627035248,1304.782627035248,1304.782627035248,1304.782627035248
174,1302.0402843456425,1302.0402843456425,1302.0402843456425,1302.0402843456425,1302.0402843456425,1302.0402843456425,1302.0402843456425
175,1297.4121079111171,1297.4121079111171,1297.4121079111171,1297.4121079111171,1297.4121079111171,1297.4121079111171,1297.4121079111171
176,1286.8278812253102,1286.8278812253102,1286.8278812253102,1286.8278812253102,1286.8278812253102,1286.8278812253102,1286.8278812253102
177,1285.9487690533585,1285.9487690533585,1285.9487690533585,1285.9487690533585,1285.9487690533585,1285.9487690533585,1285.9487690533585
178,1290.580632869944,1290.580632869944,1290.580632869944,1290.580632869944,1290.580632869944,1290.580632869944,1290.580632869944
179,1286.012704764801,1286.012704764801,1286.012704764801,1286.012704764801,1286.012704764801,1286.012704764801,1286.012704764801
180,1299.0740411947645,1299.0740411947645,1299.0740411947645,1299.0740411947645,1299.0740411947645,1299.0740411947645,1299.0740411947645
181,1294.836140673826,1294.836140673826,1294.836140673826,1294.836140673826,1294.836140673826,1294.836140673826,1294.836140673826
182,1291.2744159792837,1291.2744159792837,1291.2744159792837,1291.2744159792837,1291.2744159792837,1291.2744159792837,1291.2744159792837
183,1287.860545986441,1287.860545986441,1287.860545986441,1287.860545986441,1287.860545986441,1287.860545986441,1287.860545986441
184,1285.0241560113968,1285.0241560113968,1285.0241560113968,1285.0241560113968,1285.0241560113968,1285.0241560113968,1285.0241560113968
185,1281.3520794819494,1281.3520794819494,1281.3520794819494,1281.3520794819494,1281.3520794819494,1281.3520794819494,1281.3520794819494
