,fd1,fd2,fd3,fd4,fd5,fd6,fd7
0,1099.2794703552397,1099.2794703552397,1099.2794703552397,1099.2794703552397,1099.2794703552397,1099.2794703552397,1099.2794703552397
1,1144.3346106284,1144.3346106284,1144.3346106284,1144.3346106284,1144.3346106284,1144.3346106284,1144.3346106284
2,1144.3346106284,1144.3346106284,1144.3346106284,1144.3346106284,1144.3346106284,1144.3346106284,1144.3346106284
3,1144.3346106284,1144.3346106284,1144.3346106284,1144.3346106284,1144.3346106284,1144.3346106284,1144.3346106284
4,1144.3346106284,1144.3346106284,1144.3346106284,1144.3346106284,1144.3346106284,1144.3346106284,1144.3346106284
5,1144.3346106284,1144.3346106284,1144.3346106284,1144.3346106284,1144.3346106284,1144.3346106284,1144.3346106284
6,1144.3346106284,1144.3346106284,1144.3346106284,1144.3346106284,1144.3346106284,1144.3346106284,1144.3346106284
7,1144.3346106284,1144.3346106284,1144.3346106284,1144.3346106284,1144.3346106284,1144.3346106284,1144.3346106284
8,1144.3346106284,1144.3346106284,1144.3346106284,1144.3346106284,1144.3346106284,1144.3346106284,1144.3346106284
9,1144.3346106284,1144.3346106284,1144.3346106284,1144.3346106284,1144.3346106284,1144.3346106284,1144.3346106284
10,1144.3346106284,1144.3346106284,1144.3346106284,1144.3346106284,1144.3346106284,1144.3346106284,1144.3346106284
11,1144.3346106284,1144.3346106284,1144.3346106284,1144.3346106284,1144.3346106284,1144.3346106284,1144.3346106284
12,1144.3346106284,1144.3346106284,1144.3346106284,1144.3346106284,1144.3346106284,1144.3346106284,1144.3346106284
13,1144.3346106284,1144.3346106284,1144.3346106284,1144.3346106284,1144.3346106284,1144.3346106284,1144.3346106284
14,1144.3346106284,1144.3346106284,1144.3346106284,1144.3346106284,1144.3346106284,1144.3346106284,1144.3346106284
15,1144.3346106284,1144.3346106284,1144.3346106284,1144.3346106284,1144.3346106284,1144.3346106284,1144.3346106284
16,1144.3346106284,1144.3346106284,1144.3346106284,1144.3346106284,1144.3346106284,1144.3346106284,1144.3346106284
17,1144.3346106284,1144.3346106284,1144.3346106284,1144.3346106284,1144.3346106284,1144.3346106284,1144.3346106284
