,fd1,fd2,fd3,fd4,fd5,fd6,fd7
0,6917.746591233452,6911.33261754562,6904.907768605025,6898.472044411657,6892.025444965527,6885.567970266628,6879.099620314966
1,6910.082657094789,6902.40320104501,6894.70822308412,6886.997723212114,6879.271701428992,6871.530157734754,6863.773092129407
2,6909.330078329914,6908.577350223623,6859.988487656478,6875.152953269679,6844.039667301696,6859.182434848071,6828.024469007932
3,6908.086673883018,6865.80109651633,6872.7833823909505,6849.854328211088,6856.810811919802,6833.8411819668645,6840.771863509669
4,6879.720953079538,6887.347353470464,6863.774184774299,6871.374782999316,6847.761038530073,6855.335834589182,6831.681514346862
5,6888.215023397344,6864.6028230736465,6872.242452926196,6848.589676829424,6856.203504516065,6832.510152646211,6840.098178166942
6,6869.005316141747,6876.047980586068,6854.388884993252,6859.36413029042,6838.310024047756,6843.258140703585,6822.16478516328
7,6857.97785011289,6834.95741994114,6841.938901702757,6818.87789575793,6825.833575353638,6802.731993635737,6809.661871065537
8,6830.639043674067,6837.424878669079,6814.559519490855,6821.319552319957,6798.413617368663,6805.147848031858,6782.201337307475
9,6831.997321429956,6809.364077586132,6815.891995080833,6793.218175463938,6799.720290792736,6777.005895402753,6783.48220856565
10,6818.9659679506085,6825.925662385128,6802.820065828416,6809.753958097031,6786.607785767228,6793.51587586994,6770.32912776706
11,6839.548365649247,6815.8391790663845,6823.376661361147,6799.626899005197,6807.138579134064,6783.348241005028,6790.834118967991
12,6815.866791379138,6823.405574023355,6799.65451131795,6807.167491796269,6783.375853317779,6790.863031630196,6767.030817378629
13,6823.598395594118,6799.838658749554,6807.360313367033,6783.560000749386,6791.055853200962,6767.214964810233,6774.685015095904
14,6786.748755915832,6793.663274266307,6770.470097915663,6777.358814100237,6754.125061976511,6760.987975995179,6737.713648098372
15,6742.820018287168,6721.671349891429,6726.515558121095,6705.326313952274,6710.144720016038,6688.914900074135,6693.707503971994
16,6737.147386644103,6742.59561255552,6720.80235070495,6726.224774450462,6704.390936826812,6709.787558406418,6687.913145009691
