,fd1,fd2,fd3,fd4,fd5,fd6,fd7
0,438853.96493188356,485243.917611285,483949.922497137,481087.52893601556,481723.54316658253,484719.53150735376,481069.75881274184
1,481579.5193872464,487296.00593883876,486648.79182817513,486598.21575142886,490074.5387399628,486682.23280139995,493346.9346412777
2,494030.54927255213,500382.6155799037,490988.7435381927,498123.800476618,492416.22626747855,501740.2813244192,502932.2796879931
3,502336.4986535922,494000.0811922494,508258.58372448565,503535.7546341992,504758.1914565078,509105.74925424805,513872.6318179293
4,491166.32990964636,501616.390649439,491380.6502368281,494746.6743447445,496493.2785580036,502723.20993219584,504983.1366699084
5,498870.08983872936,490201.74078997684,496402.3780971759,501181.0187906055,500777.46724776004,502033.92340756825,500535.5876205975
6,487748.5358966967,476534.0011067895,496114.8178669162,494662.50309924735,496895.32811141794,500840.3102809886,490294.5654267266
7,480338.67222348513,494268.732250999,486990.4061633054,491778.3128563719,494820.9836969074,491300.353749027,488435.2657134115
8,496341.3380107115,499170.1744084167,499104.9472579839,502349.57146032323,495998.71267220087,494837.8990720404,499609.2357260065
9,504429.78788479517,507958.59518956067,512795.47567110206,506406.16655895475,505355.42737558746,510270.36082651955,503811.3082558791
10,504092.992134707,502056.76704931806,499517.87515841506,499842.6127094329,500127.15429424675,498424.9525566175,494727.89561086264
11,498897.52079454745,483551.58342650125,487673.4727261555,494599.07361088425,486470.3563954163,486512.4208674076,496061.3978209601
12,479979.58784934896,483842.58819679136,483304.399210518,476202.0494970239,478055.9402641639,484278.57059608435,481619.49474639166
13,482932.5037872501,488007.7470691504,479817.9192244448,482051.56157624023,496614.7420659978,487328.54096676386,491306.4048402944
14,489801.11958521634,503824.52135981625,490171.0080080082,484410.03878114285,492880.1570001276,490461.0979104648,492579.1245799956
15,510568.674921457,523542.59832868114,518000.20777614415,521103.32102607976,521985.0895694214,519648.49769612023,519441.85082275904
16,524197.0692954019,521670.15126201836,522602.9977142783,523459.0610940172,519011.66009444895,523152.47121792857,521984.5608866441
17,518205.29815427214,512302.58639462135,519152.49283706833,517958.85375289526,518858.74055434926,517688.93910349713,518608.39320670796
18,509156.601772649,495252.9473859323,506849.7206253528,508381.6167171555,508332.95223728655,501227.6223137771,507997.5469221334
19,492973.65268746164,486811.3515917858,487663.0047122609,486622.14105134254,484151.36210341955,486755.5581296553,485384.29787132144
20,485279.09476743115,492531.1366151081,481136.3279282019,479121.4488413568,480913.76712426805,482787.8017316518,481630.1535963513
21,492084.330831004,475455.13984118565,488024.72932686354,490466.9442317126,495927.72384300886,491196.78791961225,517652.22606497514
22,473589.97755761555,480090.1699623122,473912.4108823396,479358.08462615364,478246.4222158793,509666.63843407406,505108.3410112169
23,476987.4343181125,458358.8741535037,483275.14628189325,483507.34647597367,502889.731989432,528973.785984338,492154.4947890734
24,459735.91610068956,466516.82658667193,464397.21871308616,478328.1293305974,504632.21539831476,473202.42689673364,507115.77654546686
25,465401.9924685602,473851.2581593192,473686.68481274694,508661.9399314656,469619.9558174914,510850.1871979366,467073.2237073831
26,472704.85340846726,480632.6238089915,511724.91708397964,480773.308693424,513092.6077200137,479960.92542695836,536513.4938896431
27,479644.8620415028,491317.0805601472,474231.05434894055,510360.04487733106,475969.3310567216,533809.9308308869,506418.77841173566
28,491179.65836143185,460011.25738787244,461217.6754813373,503442.5725724488,488347.18049339094,525165.9355488502,468445.0228805307
29,456820.11075569096,463551.6111546249,469438.3146217762,504336.82911232085,493736.51421651815,483702.702496467,479407.2345106977
30,458612.43379143986,454119.49434650195,495777.8691042012,488827.84349251684,477269.3295447547,476501.6509294086,475441.135348489
31,452272.2023439647,500478.6539275785,484715.5669867073,470330.0123993302,469689.8351866791,476620.9525679125,470698.956660433
32,500771.81182358414,484268.5121859993,477659.969772842,475709.877425116,478703.7543091716,475867.14099112403,475392.88756837184
33,484234.7582912846,475173.07951168314,467681.96399423335,473260.7206183065,470492.8961207575,472745.07643298793,478834.9978981375
34,477255.47790353786,472202.36766226904,481154.9203784769,479674.142565166,482727.3648510773,489561.8944396745,491838.85076426325
35,476679.6662547184,495398.05585934216,476595.4765664764,484208.2019355295,491439.2756590195,494425.8019833795,491791.44787297596
36,503929.49933851854,521370.5775160448,501091.70112768107,510875.33701064775,515143.7730646338,512729.90835889196,516671.6690346997
37,538191.4391732555,543597.616910789,536535.1506849789,539521.4767983477,537795.880480767,543536.0578147669,546390.7541105752
38,535582.4465303525,551997.1993026872,544446.4159274375,528951.5315681578,539401.2764930268,528865.30680324,551642.4933647035
39,549406.7774800982,549963.1433629714,537249.4604632786,545927.5373670243,546537.0335538667,549084.107943976,542257.5275193161
40,551603.4500848814,517741.326004867,556613.2740833365,529480.2675722062,554954.6657960558,534895.9654049441,546826.2351051668
41,524587.8256511596,558496.0094628521,535544.0716270362,547303.2066543993,541559.4882769878,546053.0593739841,540348.3072803512
42,562658.0003485415,552095.3672213893,556224.5626193023,550225.731022429,555325.1726377585,549019.6386041522,554107.0624979509
43,554359.6194385785,570146.4089332663,560792.8091820116,565733.8873342678,559574.6220649092,564194.2349711604,558656.7380439613
44,568321.4377626926,569898.9238387343,568010.7991194174,564648.3645291554,566853.8239241575,563732.944012712,565580.9606976649
45,570248.0356738797,571545.2142401139,570037.6526875912,570321.730302016,568476.0357713606,569366.2628682925,567686.8187740005
46,570418.3556835636,572295.9980529161,570263.5317008935,570062.6854166032,569308.2629217671,569270.7405195176,568222.7775937329
47,572193.6314622534,571229.943322176,570664.4167656945,570272.6810214365,569865.8679259722,569500.8194266489,568067.6191916319
48,573707.6479845832,567110.327909541,571467.2219720244,566989.6083514333,567076.7124186559,565191.1250064424,564963.0486435443
49,564883.3695194764,565684.7903419752,563518.8872833345,562692.3154749337,561714.3256588734,560850.1635009988,560063.186073941
50,566236.7645481608,559092.5005796751,564096.7064846267,559913.409989794,562082.5525910031,558569.1500715436,562263.1860703268
51,560473.3528127947,564072.6868654054,559132.4473759639,562841.9031716541,558118.0240510918,561446.9682273045,556436.6502974662
52,564894.8268566317,562771.6152403724,560587.9339704785,560431.4182552231,562205.4457983387,559735.1064988411,559822.4772891742
53,563576.1813608066,562902.890601481,563305.2120759524,561031.6364515319,562154.7528425351,560285.0192873537,559291.1166082852
54,560866.875099539,567607.0719126604,559782.2375407853,564532.549131279,558664.4265727394,561706.3455383086,551960.1175778036
55,566650.0322357717,561474.6404767117,565259.8060487235,558889.3217367899,560888.977811124,542416.577476328,537459.6311533253
56,559970.4359362442,561818.9485464405,558334.6048184978,554973.0978376997,536966.8613218238,530514.7411596404,514127.54665558686
57,560236.6747427726,553409.15596229,547817.5606277222,530370.4947374514,519918.1236284316,497908.9857655822,486196.0932340951
58,551000.013661622,540935.3674429511,525579.4739330865,510573.96150270634,485587.6141528468,475079.54731350235,484792.378036993
59,542528.7638489647,529373.0528583742,503594.3171266987,478629.55413172813,467521.377147398,478036.1394130692,466535.1175901284
60,528893.9960107572,504062.21242648805,492994.88501028804,484097.86739667587,493842.46140602377,483042.5050728231,492717.92239055334
61,504366.35971656255,486228.8361188419,469518.0277547014,479738.63917567517,468298.55694928824,478664.9222203035,467227.1133608554
62,487438.5842044833,484625.1811652898,488240.7309186365,475891.6851393717,486534.07590202964,474842.4566514106,485761.0632645882
63,485872.06945882225,489806.79580812156,484094.312870278,491985.3862348329,483009.7407613205,491042.6664941792,488507.0988270065
64,487908.3845960276,465075.44374253385,485798.0215941031,475708.5942875741,484807.21988285525,481697.83840029384,490200.7452841622
65,460856.0606139757,462888.11119737226,465580.144439611,457585.64341687853,477577.7280768609,463495.6616945891,476407.42083532375
66,462707.7179295717,470359.5464906455,469981.16340128705,453723.52270096535,475749.0131022408,452623.6122649196,474752.67907753895
67,472760.3374490516,477439.5453931411,480513.0594865944,477071.445363758,490875.97626448795,471870.7072965631,489906.57150550047
68,480476.6082853266,487787.6633877623,486653.8318155345,471160.3562440681,489135.07733234466,470265.0056083711,487706.48537782085
69,490993.6980141763,491659.5057734754,490715.27126090054,495126.1329863121,489401.4476814835,493891.1618366445,487854.06377888663
70,497564.7044430058,502651.0994756379,496676.5977776958,490382.5052702138,495491.3637378351,489092.1219048656,494958.4550677327
71,504731.0425752529,516372.74449592514,503097.8502472692,508699.56817228417,500958.88854433916,506847.8970459124,500442.69594151794
72,519505.3021523675,515758.78357290186,517710.66257931484,508791.06511116604,515419.25868366787,507122.4980470124,514847.2375973051
73,516335.4335430735,524442.4892821923,513983.2060798952,516484.95805490064,510988.84280548646,516413.8728481444,511642.6443507951
74,524050.04258607863,512039.05484830466,519575.56875298574,515911.0724202605,519534.11131430086,516632.6982853563,520102.26611264225
75,512626.06888228323,516951.15869277576,510551.80548212846,515254.640997057,511090.1731543439,516078.7402362888,511732.2918356506
76,514954.1068164407,508538.6168676971,514896.21607536124,512169.65734442294,515341.22946797917,512548.4771361603,514348.16288471554
77,506891.16224729165,506601.0739190092,507216.09574995475,511938.1104845641,507654.4866994732,510672.6730661136,503677.8532818828
78,506438.0441931164,499129.3441952424,506534.64106465766,498751.72514981526,504190.6464344574,496141.7248239066,503278.02705026884
79,498437.091327553,505471.1095792623,497385.201532509,502040.8229558148,494248.69737040286,500998.00107218255,500662.9986763115
80,506837.55150936585,495935.3168624647,504103.75834317703,495619.33386498305,502766.1278696781,501736.60202991054,504216.8860550318
81,496648.69669930846,503713.657204357,493450.8279424513,498218.7245049075,498693.2240611756,501669.8433328932,495833.4448244513
82,504784.911336951,490357.60581247177,502530.8697978942,501051.2490033532,505164.368091242,498231.6533129706,503382.2831145945
83,487849.0951545859,480998.75126513117,493069.26215569366,497167.8030676228,490766.74370243953,496908.0008931356,490831.61192616017
84,480506.6721901773,493178.55688827956,484818.82785325707,477007.5315399487,483333.57222295477,477180.308693813,452383.39602747164
85,491512.36188822653,485505.35980518913,488222.42325107066,492641.09452566056,487979.1892443151,463365.43251785816,378153.5289335831
86,483769.75183537835,470237.498452665,481970.9641603179,477006.595125719,451238.6028490158,365362.1528620474,329429.71825993055
87,470557.82355678204,487370.3959184345,470419.3558970404,446255.47873603774,359992.4853002726,345766.3757898153,345156.2410552823
88,484531.1437428218,477937.8560362154,449936.25142825785,381077.35603814386,346589.21526556165,345998.1188672929,345899.6359781721
89,478746.2448373627,443119.1667467167,372657.5966775491,336298.7085411566,335900.18875093415,335291.37750984257,335202.4686055146
90,443305.60286500416,366960.09181764245,340529.7900118624,340097.1944055845,341055.9864464547,340953.57207395625,340781.74741144606
91,375783.01482974057,360768.36655279377,360328.7092724818,360441.44175088074,360330.9462537329,360150.7952302683,359953.2708844864
92,361059.92689383315,362633.23721077456,362314.0475980409,361251.63033144805,361718.2908563108,361680.35875621584,360788.7432763416
93,358853.5015886993,363271.88690264954,362211.5948507065,362573.35494482203,362504.8797466372,361613.80096425436,360800.30506811984
94,361284.54493576626,347029.48396051436,346462.70274270984,346721.4043394488,347273.25671087153,346388.656365619,345597.6101315287
95,346520.7667637058,357839.9327116631,358088.3849591471,358815.72626527026,357955.9763774544,357183.248411491,358443.87950991676
96,367231.089598894,366187.99991600163,366926.66137859796,365847.2556309196,365058.59275095054,366307.8039048182,376154.3300172365
97,385056.4800691466,400808.9131761692,399727.0597635191,398858.2748153714,400109.01054510847,407589.25031643425,396866.25262900774
98,429574.7361092472,461728.53706217685,460850.1302300809,461142.3152665363,471946.18285408895,482560.5833171435,464015.83304741315
99,481683.2586230515,509856.3654636851,522958.79653273337,527358.0145730858,521552.8413975813,524298.5936091424,518503.50712994183
