,fd1,fd2,fd3,fd4,fd5,fd6,fd7
0,29285.09228205511,29285.09228205511,29285.09228205511,29285.09228205511,29285.09228205511,29285.09228205511,29285.09228205511
1,29245.687970297564,29245.687970297564,29245.687970297564,29245.687970297564,29245.687970297564,29245.687970297564,29245.687970297564
2,29177.45123530279,29177.45123530279,29177.45123530279,29177.45123530279,29177.45123530279,29177.45123530279,29177.45123530279
3,29087.1096424928,29087.1096424928,29087.1096424928,29087.1096424928,29087.1096424928,29087.1096424928,29087.1096424928
4,29249.532293395856,29249.532293395856,29249.532293395856,29249.532293395856,29249.532293395856,29249.532293395856,29249.532293395856
5,29248.571212621282,29248.571212621282,29248.571212621282,29248.571212621282,29248.571212621282,29248.571212621282,29248.571212621282
6,29248.571212621282,29248.571212621282,29248.571212621282,29248.571212621282,29248.571212621282,29248.571212621282,29248.571212621282
7,29318.73010916522,29318.73010916522,29318.73010916522,29318.73010916522,29318.73010916522,29318.73010916522,29318.73010916522
8,29066.926946226733,29066.926946226733,29066.926946226733,29066.926946226733,29066.926946226733,29066.926946226733,29066.926946226733
9,28983.31291883876,28983.31291883876,28983.31291883876,28983.31291883876,28983.31291883876,28983.31291883876,28983.31291883876
10,28870.866468213564,28870.866468213564,28870.866468213564,28870.866468213564,28870.866468213564,28870.866468213564,28870.866468213564
11,28784.36919850187,28784.36919850187,28784.36919850187,28784.36919850187,28784.36919850187,28784.36919850187,28784.36919850187
12,28764.186502235814,28764.186502235814,28764.186502235814,28764.186502235814,28764.186502235814,28764.186502235814,28764.186502235814
13,28680.572474847842,28680.572474847842,28680.572474847842,28680.572474847842,28680.572474847842,28680.572474847842,28680.572474847842
14,28632.518436119135,28632.518436119135,28632.518436119135,28632.518436119135,28632.518436119135,28632.518436119135,28632.518436119135
15,28370.143384660325,28370.143384660325,28370.143384660325,28370.143384660325,28370.143384660325,28370.143384660325,28370.143384660325
16,28008.777013420375,28008.777013420375,28008.777013420375,28008.777013420375,28008.777013420375,28008.777013420375,28008.777013420375
17,28167.35534122514,28167.35534122514,28167.35534122514,28167.35534122514,28167.35534122514,28167.35534122514,28167.35534122514
18,27970.3337824374,27970.3337824374,27970.3337824374,27970.3337824374,27970.3337824374,27970.3337824374,27970.3337824374
19,27967.450540113674,27967.450540113674,27967.450540113674,27967.450540113674,27967.450540113674,27967.450540113674,27967.450540113674
20,27988.594317154315,27988.594317154315,27988.594317154315,27988.594317154315,27988.594317154315,27988.594317154315,27988.594317154315
21,27985.711074830582,27985.711074830582,27985.711074830582,27985.711074830582,27985.711074830582,27985.711074830582,27985.711074830582
22,28008.777013420375,28008.777013420375,28008.777013420375,28008.777013420375,28008.777013420375,28008.777013420375,28008.777013420375
23,27933.812713003575,27933.812713003575,27933.812713003575,27933.812713003575,27933.812713003575,27933.812713003575,27933.812713003575
24,28004.93269032207,28004.93269032207,28004.93269032207,28004.93269032207,28004.93269032207,28004.93269032207,28004.93269032207
25,27991.477559478026,27991.477559478026,27991.477559478026,27991.477559478026,27991.477559478026,27991.477559478026,21263.912137457562
26,27969.372701662825,27969.372701662825,27969.372701662825,27969.372701662825,27969.372701662825,21241.80727964235,21241.80727964235
27,27855.004089488477,27855.004089488477,27855.004089488477,27855.004089488477,21127.438667468006,21127.438667468006,21127.438667468006
28,27816.5608585055,27816.5608585055,27816.5608585055,21088.995436485035,21088.995436485035,21088.995436485035,21088.995436485035
29,27744.479800412428,27744.479800412428,21016.914378391954,21016.914378391954,21016.914378391954,21016.914378391954,21016.914378391954
30,27692.58143858541,20965.01601656494,20965.01601656494,20965.01601656494,20965.01601656494,20965.01601656494,20965.01601656494
31,21029.40842846142,21029.40842846142,21029.40842846142,21029.40842846142,21029.40842846142,21029.40842846142,21029.40842846142
32,21045.746801629182,21045.746801629182,21045.746801629182,21045.746801629182,21045.746801629182,21045.746801629182,25851.150674500943
33,21127.438667468006,21127.438667468006,21127.438667468006,21127.438667468006,21127.438667468006,25932.842540339763,25932.842540339763
34,21184.14243316789,21184.14243316789,21184.14243316789,21184.14243316789,25989.54630603965,25989.54630603965,25989.54630603965
35,21322.5380647066,21322.5380647066,21322.5380647066,26127.94193757836,26127.94193757836,26127.94193757836,26127.94193757836
36,21566.652581448485,21566.652581448485,26372.05645432024,26372.05645432024,26372.05645432024,26372.05645432024,26372.05645432024
37,21556.080692928164,26361.484565799925,26361.484565799925,26361.484565799925,26361.484565799925,26361.484565799925,26361.484565799925
38,26411.460766077795,26411.460766077795,26411.460766077795,26411.460766077795,26411.460766077795,26411.460766077795,26411.460766077795
39,26290.36458848143,26290.36458848143,26290.36458848143,26290.36458848143,26290.36458848143,26290.36458848143,26290.36458848143
40,26154.85219926645,26154.85219926645,26154.85219926645,26154.85219926645,26154.85219926645,26154.85219926645,26154.85219926645
41,26280.753780735686,26280.753780735686,26280.753780735686,26280.753780735686,26280.753780735686,26280.753780735686,26280.753780735686
42,26185.606784052823,26185.606784052823,26185.606784052823,26185.606784052823,26185.606784052823,26185.606784052823,26185.606784052823
43,26300.936477001742,26300.936477001742,26300.936477001742,26300.936477001742,26300.936477001742,26300.936477001742,26300.936477001742
44,26287.4813461577,26287.4813461577,26287.4813461577,26287.4813461577,26287.4813461577,26287.4813461577,22443.15824786029
45,26292.286750030573,26292.286750030573,26292.286750030573,26292.286750030573,26292.286750030573,22447.96365173316,22447.96365173316
46,26321.11917326781,26321.11917326781,26321.11917326781,26321.11917326781,22476.79607497039,22476.79607497039,26321.11917326781
47,26459.514804806513,26459.514804806513,26459.514804806513,22615.191706509097,22615.191706509097,26459.514804806513,26459.514804806513
48,26434.526704667576,26434.526704667576,22590.203606370163,22590.203606370163,26434.526704667576,26434.526704667576,26434.526704667576
49,26470.086693326837,22625.76359502942,22625.76359502942,26470.086693326837,26470.086693326837,26470.086693326837,26470.086693326837
50,22840.0846077595,22840.0846077595,26684.40770605691,26684.40770605691,26684.40770605691,26684.40770605691,26684.40770605691
51,22678.623037631,26522.946135928418,26522.946135928418,26522.946135928418,26522.946135928418,26522.946135928418,26522.946135928418
52,26571.961255431714,26571.961255431714,26571.961255431714,26571.961255431714,26571.961255431714,26571.961255431714,26571.961255431714
53,26326.88565791525,26326.88565791525,26326.88565791525,26326.88565791525,26326.88565791525,26326.88565791525,25365.8048833409
54,26154.85219926645,26154.85219926645,26154.85219926645,26154.85219926645,26154.85219926645,25193.7714246921,25193.7714246921
55,26073.160333427622,26073.160333427622,26073.160333427622,26073.160333427622,25112.079558853275,25112.079558853275,17423.433362258438
56,25967.44144822444,25967.44144822444,25967.44144822444,25006.360673650095,25006.360673650095,17317.71447705527,17317.71447705527
57,25942.453348085513,25942.453348085513,24981.37257351116,24981.37257351116,17292.726376916336,17292.726376916336,17292.726376916336
58,26007.80684075657,25046.72606618222,25046.72606618222,17358.07986958739,17358.07986958739,17358.07986958739,17358.07986958739
59,25070.75308554657,25070.75308554657,17382.10688895175,17382.10688895175,17382.10688895175,17382.10688895175,17382.10688895175
60,25050.570389280518,17361.924192685685,17361.924192685685,17361.924192685685,17361.924192685685,17361.924192685685,17361.924192685685
61,17326.36420402644,17326.36420402644,17326.36420402644,17326.36420402644,17326.36420402644,17326.36420402644,17326.36420402644
62,17380.184727402604,17380.184727402604,17380.184727402604,17380.184727402604,17380.184727402604,17380.184727402604,21224.507825700013
63,17347.507981067072,17347.507981067072,17347.507981067072,17347.507981067072,17347.507981067072,21191.83107936449,21191.83107936449
64,17433.04417000419,17433.04417000419,17433.04417000419,17433.04417000419,21277.3672683016,21277.3672683016,21277.3672683016
65,17560.867913022583,17560.867913022583,17560.867913022583,21405.191011319992,21405.191011319992,21405.191011319992,21405.191011319992
66,17700.22462533586,17700.22462533586,21544.547723633274,21544.547723633274,21544.547723633274,21544.547723633274,21544.547723633274
67,17800.177025891593,21644.500124189006,21644.500124189006,21644.500124189006,21644.500124189006,21644.500124189006,21644.500124189006
68,21728.114151576974,21728.114151576974,21728.114151576974,21728.114151576974,21728.114151576974,21728.114151576974,21728.114151576974
69,22059.68701880513,22059.68701880513,22059.68701880513,22059.68701880513,22059.68701880513,22059.68701880513,22059.68701880513
70,22202.8880542167,22202.8880542167,22202.8880542167,22202.8880542167,22202.8880542167,22202.8880542167,22202.8880542167
71,22400.87069377902,22400.87069377902,22400.87069377902,22400.87069377902,22400.87069377902,22400.87069377902,22400.87069377902
72,22543.110648416026,22543.110648416026,22543.110648416026,22543.110648416026,22543.110648416026,22543.110648416026,22543.110648416026
73,23010.19590485916,23010.19590485916,23010.19590485916,23010.19590485916,23010.19590485916,23010.19590485916,23010.19590485916
74,22987.12996626938,22987.12996626938,22987.12996626938,22987.12996626938,22987.12996626938,22987.12996626938,22987.12996626938
75,22509.472821305917,22509.472821305917,22509.472821305917,22509.472821305917,22509.472821305917,22509.472821305917,22509.472821305917
76,22162.522661684583,22162.522661684583,22162.522661684583,22162.522661684583,22162.522661684583,22162.522661684583,22162.522661684583
77,21907.836256422375,21907.836256422375,21907.836256422375,21907.836256422375,21907.836256422375,21907.836256422375,21907.836256422375
78,21871.315186988555,21871.315186988555,21871.315186988555,21871.315186988555,21871.315186988555,21871.315186988555,26676.719059860316
79,21873.237348537703,21873.237348537703,21873.237348537703,21873.237348537703,21873.237348537703,26678.641221409467,26678.641221409467
80,21854.015733046213,21854.015733046213,21854.015733046213,21854.015733046213,26659.419605917978,26659.419605917978,26659.419605917978
81,21877.081671636002,21877.081671636002,21877.081671636002,26682.48554450776,26682.48554450776,26682.48554450776,26682.48554450776
82,21834.79411755473,21834.79411755473,26640.197990426495,26640.197990426495,26640.197990426495,26640.197990426495,26640.197990426495
83,21772.323867207397,26577.727740079157,26577.727740079157,26577.727740079157,26577.727740079157,26577.727740079157,26577.727740079157
84,26647.886636623083,26647.886636623083,26647.886636623083,26647.886636623083,26647.886636623083,26647.886636623083,16075.9981163052
85,26700.746079224667,26700.746079224667,26700.746079224667,26700.746079224667,26700.746079224667,16128.857558906791,16128.857558906791
86,26639.236909651918,26639.236909651918,26639.236909651918,26639.236909651918,16067.348389334033,16067.348389334033,16067.348389334033
87,26733.422825560207,26733.422825560207,26733.422825560207,16161.53430524232,16161.53430524232,16161.53430524232,16161.53430524232
88,26786.282268161794,26786.282268161794,16214.393747843907,16214.393747843907,16214.393747843907,16214.393747843907,16214.393747843907
89,26660.38068669255,16088.49216637467,16088.49216637467,16088.49216637467,16088.49216637467,16088.49216637467,16088.49216637467
90,16059.659743137443,16059.659743137443,16059.659743137443,16059.659743137443,16059.659743137443,16059.659743137443,16059.659743137443
91,16023.138673703614,16023.138673703614,16023.138673703614,16023.138673703614,16023.138673703614,16023.138673703614,16023.138673703614
92,16122.129993484772,16122.129993484772,16122.129993484772,16122.129993484772,16122.129993484772,16122.129993484772,16122.129993484772
93,16308.579663752196,16308.579663752196,16308.579663752196,16308.579663752196,16308.579663752196,16308.579663752196,16308.579663752196
94,16338.373167763999,16338.373167763999,16338.373167763999,16338.373167763999,16338.373167763999,16338.373167763999,16338.373167763999
95,16645.91901562779,16645.91901562779,16645.91901562779,16645.91901562779,16645.91901562779,16645.91901562779,16645.91901562779
96,18319.16064416174,18319.16064416174,18319.16064416174,18319.16064416174,18319.16064416174,18319.16064416174,18319.16064416174
97,18669.95512688138,18669.95512688138,18669.95512688138,18669.95512688138,18669.95512688138,18669.95512688138,18669.95512688138
98,20116.38169261578,20116.38169261578,20116.38169261578,20116.38169261578,20116.38169261578,20116.38169261578,20116.38169261578
99,20258.621647252785,20258.621647252785,20258.621647252785,20258.621647252785,20258.621647252785,20258.621647252785,15453.217774381023
100,21430.179111458925,21430.179111458925,21430.179111458925,21430.179111458925,21430.179111458925,16624.775238587157,16624.775238587157
101,21263.912137457562,21263.912137457562,21263.912137457562,21263.912137457562,16458.508264585795,16458.508264585795,16458.508264585795
102,20871.79118143122,20871.79118143122,20871.79118143122,16066.387308559459,16066.387308559459,16066.387308559459,16066.387308559459
103,20700.718803556985,20700.718803556985,15895.314930685223,15895.314930685223,15895.314930685223,15895.314930685223,15895.314930685223
104,21289.86131837107,16484.4574454993,16484.4574454993,16484.4574454993,16484.4574454993,16484.4574454993,16484.4574454993
105,16394.115852689312,16394.115852689312,16394.115852689312,16394.115852689312,16394.115852689312,16394.115852689312,16394.115852689312
106,17008.246467642326,17008.246467642326,17008.246467642326,17008.246467642326,17008.246467642326,17008.246467642326,17008.246467642326
107,16526.744999580576,16526.744999580576,16526.744999580576,16526.744999580576,16526.744999580576,16526.744999580576,16526.744999580576
108,16754.521143154696,16754.521143154696,16754.521143154696,16754.521143154696,16754.521143154696,16754.521143154696,16754.521143154696
109,16173.067274537214,16173.067274537214,16173.067274537214,16173.067274537214,16173.067274537214,16173.067274537214,16173.067274537214
